concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens,tax,freq_subtitleus,cd_subtitleus,freq_german,freq_spanish,freq_bbc,freq_cbeebies,freq_cbbc,freq_bnc,cd_bbc,cd_cbeebies,cd_cbbc,known_percentage,prevalence,valence_warriner,arousal_warriner,dominance_warriner,perceptual_max,perceptual_aggregated,action_max,action_aggregated,sensor_max,valence_mohammad,arousal_mohammad,dominance_mohammad
2,dust,The physical world,Person/Thing,Noun,1,0.981183,26.796235,0.843089,28.967853,124.20871,0.66838,2.65e-4,510.234352,5.06,4.4,4.974700195,6,23.862419,893.682589,17.441152,36.802267,24.272777,38.64053,31.881346,29.565734,674.935039,193.001443,505.597689,0.987342,2.107627,3.72,3.45,4.56,4.0625,4.457348,2.75,3.257105,4.0625,0.344,0.246,0.241
3,brave,Emotions and values,Property,Adjective,1,0.920987,24.733398,0.372374,32.744382,121.82568,0.97256,3.43e-4,628.596856,6,2.26,5.032165295,0,31.725056,1223.860885,15.315143,34.66288,44.108435,148.406993,81.466389,19.292537,1308.16429,593.434343,1265.799928,0.992593,2.246583,7.38,4.95,6.84,3.363636,4.293549,3.15,3.64125,3.363636,0.837,0.75,0.917
8,curse,Religion and belief,Action/Process,Verb,0.950288,0.827182,22.334706,0.845801,25.755634,117.07703,0.85693,7.7e-5,317.709878,7.47,2.39,4.179341719,2,18.235045,570.107858,2.244121,2.235539,6.355739,0.170976,20.715529,5.584405,188.003581,1.803752,232.936078,0.993072,2.261663,2.9,5.2,5.15,3.285714,3.3647,2.857143,3.268188,3.285714,0.033,0.72,0.375
9,announce,Speech and language,Action/Process,Verb,0.949734,0.83327,65.251074,0.446344,85.210633,89.37532,0.41437,3.9e-5,531.592999,9.48,3.31,5.694058324,4,9.78418,455.646049,1.220487,6.874885,12.409061,6.155129,9.623171,11.811542,441.076926,57.720058,216.684724,0.997543,2.435655,5.52,3.65,5.48,4.722222,4.870447,4,4.103178,4.722222,0.694,0.618,0.611
10,firewood,The physical world,Person/Thing,Noun,1,0.985767,5.454924,0.971374,0.969454,290.26215,1.35586,7e-6,19.57876,6.61,4.93,6.255208919,5,1.529391,72.639225,0.669299,4.735497,1.051027,4.103419,1.175349,2.075713,31.879817,19.84127,21.668472,0.993213,2.266204,6.09,4.58,5.95,4.764706,5.765055,3.5,3.759708,4.764706,0.52,0.348,0.263
23,rye,Agriculture and vegetation,Person/Thing,Noun,0.422412,0.36555,2.819741,1.880166,6.511256,107.39491,0.94456,2.6e-5,111.539602,9.26,4.74,5.00897613,12,4.176413,155.183799,0.669299,1.586512,2.944859,0.683903,0.808053,4.994354,71.402057,5.411255,14.445648,0.987745,2.116943,5.45,3.78,5.45,4.055556,4.48934,3.105263,3.277146,4.055556,0.49,0.298,0.411
24,pray,Religion and belief,Action/Process,Verb,0.9152,0.820591,82.875812,2.055755,104.353725,205.08146,0.8929,8e-5,1111.242955,5.79,3.21,5.10370751,4,36.234798,1190.843055,21.968765,2.788415,14.848237,2.05171,7.713229,15.710089,392.82049,12.626263,149.873601,0.995134,2.33325,6.57,3.25,6.58,3.444444,4.170094,3.05,3.924065,3.444444,0.714,0.127,0.627
27,air,The physical world,Person/Thing,Noun,0.816981,0.78810500000000006,109.966819,0.736558,142.828012,153.37768,0.97415,6.03e-4,2621.477306,3.94,4.11,5.735258255,5,139.037313,3660.576711,130.670845,111.873123,165.511982,215.25853,219.12916,201.006952,3342.79538,1118.326118,2432.286024,1,2.575829,6.71,3.25,5.72,2.789474,3.291697,3.95,5.348301,3.95,0.708,0.163,0.427
31,pan,Food and drink,Person/Thing,Noun,0.975107,0.795684,30.024833,2.251019,57.602909,133.53022,1.37404,1.44e-4,948.976565,4.72,4.86,4.879053511,10,12.313557,403.918116,2.480344,3.293214,39.443263,25.133442,19.907477,19.977417,587.156364,111.832612,290.718671,0.986985,2.099532,5.15,3.05,6,3.9375,4.153437,3.166667,3.543552,3.9375,0.734,0.182,0.364
43,lead,Motion,Action/Process,Verb,0.975345,0.908666,119.99439,0.61739,316.982398,174.07757,0.73954,2.95e-4,4030.258084,6.76,4.1,4.700215568,0,83.27337,2771.2965,94.410571,3.96628,46.106378,17.439531,55.755626,62.64016,943.948294,128.066378,778.259299,0.994709,2.317506,5.56,3.95,5.22,3.05,3.4431,2.736842,3.979468,3.05,0.323,0.657,0.455
49,refuse,Speech and language,Action/Process,Verb,0.948266,0.71162,62.954817,0.452424,80.102915,161.6955,1.55795,1.32e-4,864.431919,9.33,3.04,5.019088786,2,20.999713,935.505173,4.566983,0.408647,10.530102,0.85487899999999994,8.374363,25.730407,384.086294,7.215007,196.821957,0.992248,2.236045,3.42,4.32,4.5,3.054054,3.588831,3.631579,4.312708,3.631579,0.18,0.52,0.331
72,claw,Animals,Person/Thing,Noun,1,0.889973,6.73424,0.725935,6.482317,108.16825,0.65648,6.5e-5,113.912786,4.7,4.83,4.951772008,7,4.392097,151.882016,1.41734,2.572072,16.514016,9.061717,173.217083,3.340106,193.462454,43.290043,312.387143,0.985882,2.075363,4.65,3.65,3.8,3.947368,4.391224,3.190476,3.324469,3.947368,0.26,0.6,0.598
73,beak,The body,Person/Thing,Noun,1,0.953106,7.551464,0.867971,2.329583,107.70789,0.71715,7.5e-5,49.540196,5.42,4.96,3.723504932,9,2.1176179999999998,97.952895,1.968527,13.845922,6.772184,52.147618,21.964338,3.087227,173.373802,238.095238,272.661611,0.98324,2.021923,4.9,2.81,4.28,3.375,3.497001,2,2.069211,3.375,0.375,0.363,0.411
