concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens
2,dust,The physical world,Person/Thing,Noun,1,26.796235,0.843089,28.967853,124.20871,0.66838,2.65e-4,510.234352,5.06,4.4,4.974700195
3,brave,Emotions and values,Property,Adjective,1,24.733398,0.372374,32.744382,121.82568,0.97256,3.43e-4,628.596856,6,2.26,5.032165295
8,curse,Religion and belief,Action/Process,Verb,0.821354,22.334706,0.845801,25.755634,117.07703,0.85693,7.7e-5,317.709878,7.47,2.39,4.179341719
9,announce,Speech and language,Action/Process,Verb,0.824357,65.251074,0.446344,85.210633,89.37532,0.41437,3.9e-5,531.592999,9.48,3.31,5.694058324
10,firewood,The physical world,Person/Thing,Noun,1,5.454924,0.971374,0.969454,290.26215,1.35586,7e-6,19.57876,6.61,4.93,6.255208919
11,darkness,The physical world,Person/Thing,Noun,1,34.298245,0.512287,26.565923,107.65574,0.63164,1.14e-4,498.368437,4.83,3.85,5.605586944
21,taste,Sense perception,Action/Process,Verb,0.733276,273.395784,1.386053,140.064345,193.35714,1.43213,2.98e-4,2416.79027,4.26,4.07,6.238808255
23,rye,Agriculture and vegetation,Person/Thing,Noun,0.221669,2.819741,1.880166,6.511256,107.39491,0.94456,2.6e-5,111.539602,9.26,4.74,5.00897613
24,pray,Religion and belief,Action/Process,Verb,0.741167,82.875812,2.055755,104.353725,205.08146,0.8929,8e-5,1111.242955,5.79,3.21,5.10370751
27,air,The physical world,Person/Thing,Noun,0.641886,109.966819,0.736558,142.828012,153.37768,0.97415,6.03e-4,2621.477306,3.94,4.11,5.735258255
31,pan,Food and drink,Person/Thing,Noun,0.914683,30.024833,2.251019,57.602909,133.53022,1.37404,1.44e-4,948.976565,4.72,4.86,4.879053511
56,bad luck,Emotions and values,Person/Thing,Noun,0.403399,10.013163,0.886536,3.096464,99.45396,0.62328,1.4e-5,62.296055,10.53,2.07,3.93269586
66,kneel,Motion,Action/Process,Verb,1,3.308037,0.987244,1.504824,93.13464,0.46975,2.5e-5,35.597745,6.95,4.31,5.122746059
82,anger,Emotions and values,Person/Thing,Noun,1,31.074655,0.596563,32.831198,116.86858,0.8502,7.29e-4,581.429843,6,2.41,5.216823407
98,all,Quantity,Other,Function word,1,3806.418263,0.360446,4608.276127,4839.44335,0.46021,3.35e-4,83620.587363,4.196887,2.28,4.626035418
112,turtle,Animals,Person/Thing,Noun,0.680113,5.785972,0.620348,13.022511,283.19366,2.57542,9.4e-5,242.657965,4.17,5,4.572713912
113,shore,The physical world,Person/Thing,Noun,0.811523,16.461215,0.968034,23.006437,211.51855,1.75859,4.8e-5,452.388015,6.925079,4.79,4.173430113
117,imitate,Cognition,Action/Process,Verb,1,8.541662,0.798123,4.760451,93.47934,0.52901,1.9e-5,45.683773,9.2,2.66,5.121262668
119,dive,Motion,Action/Process,Verb,0.65181,13.066534,0.724883,20.980713,96.23178,0.47322,8e-5,243.547909,7.21,4.03,5.086416471
122,cart,Motion,Person/Thing,Noun,0.523904,20.476641,0.52412,29.720265,182.92919,1.6166,1.98e-4,548.20528,5.22,4.89,4.858567223
123,forehead,The body,Person/Thing,Noun,1,15.76984,0.848405,8.580388,104.58437,0.49928,3.2e-5,168.199347,5.58,4.9,5.640401761
126,sweat,The body,Action/Process,Verb,1,17.602167,0.557858,30.38586,106.96983,0.48167,3.16e-4,469.593592,7.26,4.71,5.520714808
127,extinguish,The physical world,Action/Process,Verb,1,2.830909,1.111967,1.012862,95.74647,0.57003,1.1e-5,15.722338,8.95,3.47,3.838858181
129,choke,Food and drink,Action/Process,Verb,0.844834,6.926838,0.940285,17.247593,91.47426,0.47887,1.19e-4,163.749629,6.11,4.34,5.97343478
133,weave,Clothing and grooming,Action/Process,Verb,0.700466,3.822747,0.960932,14.223476,111.55583,0.53011,4.6e-5,196.084248,9.89,4.2,4.94601611
138,bathe,The body,Action/Process,Verb,1,45.10601,2.235484,9.810292,137.26293,1.39495,2e-5,48.353604,5,4.19,7.041937436
