concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,mand1415,kore1280,indo1316,stan1306,stan1293,stan1295,dani1285,norw1258,finn1318,lith1251,poli1260,russ1263,ukra1253,mace1250,mode1248,roma1327,ital1282,stan1290,stan1289,stan1288,port1283,dutc1256,swed1254
8,curse,Religion and belief,Action/Process,Verb,0.950288,0.827182,15.001696,5.78989,19.005412,5.735032,25.755634,29.035793,20.67249,12.280704,5.778837,2.831003,15.36407,29.940306,17.726656,19.976691,52.142998,24.121693,52.326837,24.880553,3.744056,85.191105,11.708622,13.369829,21.318327
65,ambush,Warfare and hunting,Person/Thing,Noun,0.814919,0.684982,2.652311,0.248138,2.833912,1.733847,2.271705,8.637362,0.765648,3.019289,0.18844,0.566201,0.734537,7.289011,4.818897,3.571252,1.295156,0.666853,6.169017,2.242382,1.497622,1.626875,1.43134,0.253057,0.77775
112,turtle,Animals,Person/Thing,Noun,0.893771,0.895728,12.545852,0.771985,4.887849,7.26882,13.022511,2.180305,4.368696,2.442571,1.319082,2.453536,7.671833,9.249663,6.539931,6.138089,6.501685,0.04599,7.406813,8.524351,8.577291,8.409186,7.6725,3.184297,1.894519
141,burn,The physical world,Action/Process,Verb,1,0.990397,69.254788,10.03581,67.896901,200.926181,94.688128,70.797021,103.002143,79.79065,47.549782,4.907071,23.586806,91.366374,16.120357,79.68356,32.663845,85.242247,42.364574,35.977048,27.637937,78.463756,66.705621,56.705787,74.963136
156,red,Sense perception,Property,Adjective,1,1,140.011149,49.903339,256.859059,199.192334,224.146361,197.170857,251.853076,143.63674,105.400971,36.991769,85.512374,156.275481,143.53428,183.138267,130.318641,20.833417,179.440524,166.282554,176.855569,132.953086,130.72909,192.555055,173.218888
163,black,Sense perception,Property,Adjective,1,1,184.300533,38.792264,175.195584,180.120018,302.368246,194.990552,210.530616,213.996352,193.088548,127.206389,161.373745,108.48171,135.158578,258.357762,173.8618,186.328008,241.190584,287.651506,183.526795,220.397633,258.518129,178.679113,175.931042
194,family,Kinship,Person/Thing,Noun,0.949236,0.868091,184.553134,55.224524,410.033324,555.831304,526.44226,176.499888,349.878509,237.132927,166.015951,278.193201,226.33948,278.712419,136.076463,173.09412,128.168681,239.009418,295.673583,321.58403,333.084796,373.422842,345.069091,146.182416,164.125196
212,field,Agriculture and vegetation,Person/Thing,Noun,1,0.942861,3.606582,2.812232,84.484388,132.839347,114.554692,32.935185,26.685076,22.797329,31.532352,25.856492,58.416112,105.06787,99.820003,103.789511,48.024401,44.357241,171.634422,76.686183,296.393052,171.514427,174.120625,43.230517999999996,7.976923
221,fire,The physical world,Person/Thing,Noun,1,1,73.605139,5.982887,148.416412,165.248947,170.377858,55.681637,65.620517,70.495311,4.962263,122.865518,37.298167,94.411151,104.581532,66.960975,138.996189,208.771071,165.145974,179.456551,168.822868,97.436639,146.435149,89.582069,32.346424
227,fish,Animals,Person/Thing,Noun,1,1,74.854111,7.91285,136.378784,235.736492,75.805486,51.551636,48.370923,95.497738,64.446601,48.693247,52.294969,110.880626,93.911118,53.010772,40.538397,4.369039,96.907466,55.202181,50.987229,43.40899,72.688881,24.651939,44.591001
256,food,Food and drink,Person/Thing,Noun,0.976504,0.983884,106.190675,61.48312,335.246636,330.031089,414.202681,29.643763,314.523597,277.740668,248.804079,68.698999,80.67667,313.427489,171.472407,133.25234,157.491023,87.633721,89.999764,86.809881,195.848142,201.270856,186.706105,29.628721,342.92793
391,bless,Religion and belief,Action/Process,Verb,0.872584,0.679946,86.55796,4.659483,23.906261,22.740069,131.455018,29.916301,13.016012,17.233695,18.278714,8.870475,9.875445,26.272734,29.773897,31.248455,18.365318,24.834536,72.650653,16.504595,11.980978,55.203836,105.184177,44.559066,7.239058
478,lip,The body,Person/Thing,Noun,1,0.999149,14.271959,7.058152,116.398402,66.286301,47.300655,21.824015,24.635843,5.597558,5.967278,68.698999,49.152782,45.048858,22.430817,51.336748,34.399355,70.50249,32.562027,38.351336,30.428961,58.017891,40.864124,22.711838,19.52352
489,kidney,The body,Person/Thing,Noun,1,0.909628,14.187759,0.468705,17.939445,2.267338,8.247591,5.115331,3.152667,3.663856,3.391926,0.943668,4.427627,11.37178,18.816644,10.044146,6.605298,10.117774,2.874882,8.194589,3.199466,7.167045,9.568059,5.989008,2.034115
578,kiss,Emotions and values,Action/Process,Verb,1,0.96764,32.683769,15.108856,133.713866,62.085056,85.398736,42.159553,63.931588,19.642341,1.067829,8.681742,41.827813,56.651304,33.847012,58.702455,30.125339,3.794165,255.684779,52.745453,35.806786,207.404615,529.699108,44.559066,11.167693
579,battle,Warfare and hunting,Person/Thing,Noun,1,0.837937,96.98477,48.938357,177.26252,172.784512,227.604561,283.481587,160.200535,108.524783,170.412892,129.659925,177.798813,220.907791,294.698479,304.560835,224.968673,182.671813,239.633357,247.074276,255.140367,225.047418,176.712512,245.59152,168.233311
585,boot,Clothing and grooming,Person/Thing,Noun,0.908584,0.591468,3.634648,0.716844,6.980784,4.601363,44.811909,13.815587,21.820961,7.429487,6.972293,37.557969,65.904311,25.649939,15.317207,12.164577,8.729354,11.91138,15.572275,24.336445,14.635853,19.115785,51.579834,14.909257,12.543712
586,garden,Agriculture and vegetation,Person/Thing,Noun,0.766764,0.839836,34.480043,9.346537,5.017845,31.47599,93.631857,95.388347,81.879273,36.265393,10.301406,42.087574,68.230345,34.922668,49.278955,23.101536,29.55547,69.720662,48.713271,62.341531,38.597809,30.668798,65.880343,208.687419,47.362982
604,glass,Basic actions and technology,Person/Thing,Noun,0.975191,0.812479,58.982345,22.497859,98.679949,41.745698,113.975914,98.113728,113.158236,87.186212,49.120119,70.208868,50.560645,53.698793,45.263208,16.740244,53.593573,92.830577,76.463864,96.884114,48.060058,14.806764,64.165314,133.824814,102.024848
606,grass,Agriculture and vegetation,Person/Thing,Noun,0.976504,0.995356,46.225992,3.198225,36.502872000000004,17.738588,33.366568,33.689906,18.893485,13.298442,8.417002,49.070714,24.280536,22.166899,15.145104,37.721349,6.320363,55.026894,31.9032,19.192156,13.410526,16.444631,14.958152,33.951773,14.099212
620,insect,Animals,Person/Thing,Noun,0.765371,0.6426,3.213647,2.205672,9.450708,9.069353,6.438908,5.95391,4.706482,4.20665,4.271315,5.473272,7.610622,8.673001,13.424069,8.704927,7.226973,8.623103,9.283472,9.810423,9.189955,8.420179,9.065156,6.663826,4.766212
622,island,The physical world,Person/Thing,Noun,0.934582,0.795272,37.188488,16.956107,129.034011,156.312967,72.376225,60.021283,53.707939,47.053415,23.429417,28.687494,26.422936,68.461347,25.471311,76.335512,120.035099,38.079623,75.545499,78.945054,97.005076,71.626483,55.590166,39.118347,4.387308
645,ocean,The physical world,Person/Thing,Noun,0.722529,0.694864,30.480527,33.443509,51.153419,34.610252,35.102903,5.807159,6.845792,21.745666,2.952232,5.473272,16.404664,37.113985,53.179967,22.989935,12.096761,24.121693,20.52346,23.017397,10.891798,16.257761,17.898202,8.920248,3.948577
667,road,Motion,Person/Thing,Noun,0.974618,0.977827,249.33127,27.874186,780.85986,736.151381,162.622229,127.401095,710.295933,259.828481,73.617364,127.583856,207.159897,304.385424,292.403767,31.918065,317.650068,399.514108,223.502077,294.015915,107.964947,39.209893,89.864966,802.358421,682.844572
670,root,Agriculture and vegetation,Person/Thing,Noun,1,1,68.482951,12.434478,37.698835,29.075279,61.408376,21.488584,14.637384,8.379375,16.896818,28.498761,19.567255,36.583456,41.763771,48.993113,33.337327,22.167123,28.429384,28.178174,43.226823,36.164998,34.210325,38.422441,16.611943
671,sand,The physical world,Person/Thing,Noun,1,0.995995,24.390035,7.967992,47.630528,78.823347,29.459815,22.536807,38.192312,20.15121,13.881773,41.33264,19.893716,33.723211,38.264334,26.226382,23.079688,41.390894,24.73596,31.442819,34.989901,0.78046,36.853792,26.950538,9.233289
673,school,Cognition,Person/Thing,Noun,1,0.863396,329.770672,198.262382,561.595638,570.969121,627.46801,210.105936,316.730464,477.081595,232.095701,242.900034,444.252186,344.52112,388.724332,209.587852,269.366636,187.040851,372.277198,198.1046,357.319047,223.607414,375.062765,341.162598,403.014104
686,easy,Cognition,Property,Adjective,0.973897,0.912364,269.834056,65.067337,390.247935,348.970032,303.554742,45.325188,468.869179,486.648331,406.528654,304.238426,119.627546,176.089598,253.049444,350.652306,92.629588,255.174862,149.394019,154.21326,194.690888,187.772188,235.526418,235.342724,402.415835
691,season,Time,Person/Thing,Noun,0.800673,0.701258,52.232284,129.059409,130.515965,92.760809,286.061168,50.377626,113.450983,129.829429,83.54189,38.12417,123.60629,94.618749,122.365555,182.133852,46.625632,59.165984,137.874528,162.127551,145.473576,130.567735,75.190503,97.658795,106.471983
706,dark,Sense perception,Property,Adjective,0.934744,0.87588,10.188242,31.513545,97.652981,101.163298,152.855346,86.394588,110.118164,125.826327,49.245746,47.560846,84.532991,89.013591,64.94037,62.050504,26.110354,12.049349,24.676067,54.311823,71.273203,80.970023,70.844902,91.817403,110.320848
709,teach,Cognition,Action/Process,Verb,1,0.976381,105.068004,26.633495,193.304024,459.936233,193.297478,19.392136,81.811715,33.21218,127.511305,38.690371,85.104297,180.979694,160.285683,49.104715,38.543856,45.713943,95.050772,54.443728,78.080577,138.658142,102.79861,9.65833,225.348082
713,steal,Law,Action/Process,Verb,1,0.985592,37.160421,4.163207,36.54187,68.020148,58.094871,16.184572,46.411766,37.588452,19.409356,13.96628,14.364283,26.434199,28.282334,68.746601,47.402726,90.370119,62.009598,28.837698,51.599893,78.155969,69.220138,27.266859,29.215481
718,pay,Possession,Action/Process,Verb,0.98504,0.94529,74.629577,12.213911,246.888367,238.403949,314.348957,158.722016,261.896573,219.492137,206.405,6.039472,82.880282,194.427459,126.037095,233.024193,90.427823,26.835096,209.407171,259.588749,291.900185,224.113064,299.446728,208.624155,251.332909
