glottocode,area,langfamily
beja1238,Africa,Afro-Asiatic
cabe1245,North America,Chibchan
cash1254,South America,Pano-Tacanan
goem1240,Africa,Afro-Asiatic
goro1270,Africa,Afro-Asiatic
jeju1234,Eurasia,Koreanic
kaka1265,Africa,Mande
movi1243,,
orko1234,Papunesia,Austronesian
pnar1238,Eurasia,Austroasiatic
sout3282,Eurasia;South America,Indo-European
toto1304,Papunesia,Austronesian
nort2875,Papunesia,Austronesian
svan1243,Eurasia,Kartvelian
taba1259,Eurasia,Nakh-Daghestanian
texi1237,North America,Mixe-Zoque
urum1249,Eurasia,Turkic
anal1239,Eurasia,Sino-Tibetan
apah1238,Papunesia,Nuclear Trans New Guinea
arap1274,North America,Algic
bain1259,Africa,Atlantic-Congo
dolg1241,Eurasia,Turkic
even1259,Eurasia,Tungusic
guri1247,Australia,Pama-Nyungan
jeha1242,Eurasia,Austroasiatic
kama1351,Eurasia,Uralic
kark1256,Africa,Nubian
komn1238,Papunesia,Yam
nngg1234,Africa,Tuu
nort2641,Eurasia,Indo-European
port1286,Papunesia,Austronesian
ruul1235,Africa,Atlantic-Congo
sadu1234,Eurasia,Sino-Tibetan
sanz1248,Eurasia,Nakh-Daghestanian
teop1238,Papunesia,Austronesian
trin1278,South America,Arawakan
tsim1256,Africa,Nilotic
bora1263,South America,Boran
sout2856,Papunesia,Austronesian
warl1254,Australia,Pama-Nyungan
hoch1243,North America,Siouan
sumi1235,Eurasia,Sino-Tibetan
savo1255,,
vera1241,Papunesia,Austronesian
ngal1292,Australia,Gunwinyguan
ligh1234,Australia,Mixed Language
