tip,n,area,langfamily
ache1246,1,South America,Tupian
aghu1253,1,Eurasia,Nakh-Daghestanian
agua1253,1,South America,Chicham
aheu1239,1,Eurasia,Austroasiatic
akhv1239,2,Eurasia,Nakh-Daghestanian
anci1242,1,Eurasia,Indo-European
andi1255,2,Eurasia,Nakh-Daghestanian
anga1316,1,South America,Lengua-Mascoy
arao1248,1,South America,Pano-Tacanan
arch1244,2,Eurasia,Nakh-Daghestanian
avar1256,13,Eurasia,Nakh-Daghestanian
ayor1240,1,South America,Zamucoan
bagv1239,1,Eurasia,Nakh-Daghestanian
basq1248,1,Eurasia,isolate_basq1248
bats1242,1,Eurasia,Nakh-Daghestanian
bezh1248,3,Eurasia,Nakh-Daghestanian
bitt1240,1,Eurasia,Austroasiatic
blan1242,3,Eurasia,Austroasiatic
boly1239,1,Eurasia,Austroasiatic
botl1242,2,Eurasia,Nakh-Daghestanian
bret1244,1,Eurasia,Indo-European
budu1248,1,Eurasia,Nakh-Daghestanian
bulg1262,1,Eurasia,Indo-European
cavi1250,1,South America,Pano-Tacanan
cent2142,1,South America,Aymaran
cent2314,1,Eurasia,Austroasiatic
chac1249,1,South America,Barbacoan
chac1251,1,South America,Pano-Tacanan
chad1240,1,Eurasia,Tai-Kadai
cham1309,2,Eurasia,Nakh-Daghestanian
chec1245,2,Eurasia,Nakh-Daghestanian
chip1262,1,South America,Uru-Chipaya
chir1284,1,Eurasia,Nakh-Daghestanian
chon1284,1,Eurasia,Austroasiatic
chur1257,1,Eurasia,Indo-European
cofa1242,1,South America,isolate_cofa1242
colo1256,1,South America,Barbacoan
czec1258,1,Eurasia,Indo-European
dani1285,1,Eurasia,Indo-European
darg1241,14,Eurasia,Nakh-Daghestanian
dido1241,2,Eurasia,Nakh-Daghestanian
dutc1256,1,Eurasia,Indo-European
east2295,1,Eurasia,Indo-European
east2328,1,Eurasia,Uralic
east2555,1,South America,Tupian
emab1235,1,Eurasia,Tai-Kadai
enap1235,1,South America,Cariban
epen1239,1,South America,Chocoan
erzy1239,1,Eurasia,Uralic
esto1258,1,Eurasia,Uralic
finn1318,1,Eurasia,Uralic
ghod1238,1,Eurasia,Nakh-Daghestanian
ghul1238,1,Africa,Nubian
gree1278,1,Eurasia,Tai-Kadai
guib1244,2,Eurasia,Tai-Kadai
haus1257,1,Africa,Afro-Asiatic
hawa1245,1,Papunesia,Austronesian
high1278,1,North America,Uto-Aztecan
hinu1240,1,Eurasia,Nakh-Daghestanian
hlai1239,1,Eurasia,Tai-Kadai
homs1234,1,Eurasia,Indo-European
hung1274,1,Eurasia,Uralic
hung1275,3,Eurasia,Austroasiatic
hunz1247,1,Eurasia,Nakh-Daghestanian
huuu1240,1,Eurasia,Austroasiatic
igna1246,1,South America,Arawakan
ingu1240,1,Eurasia,Nakh-Daghestanian
iris1253,1,Eurasia,Indo-European
iron1242,1,Eurasia,Indo-European
ital1282,1,Eurasia,Indo-European
iyoj1235,1,South America,Mataguayan
jama1262,1,North America,Indo-European
jude1256,1,Eurasia,Indo-European
kain1272,1,South America,Nuclear-Macro-Je
kajt1238,1,Eurasia,Nakh-Daghestanian
kara1474,2,Eurasia,Nakh-Daghestanian
karo1304,1,North America,isolate_karo1304
khan1273,1,Eurasia,Uralic
khin1240,1,Eurasia,Nakh-Daghestanian
khun1259,1,Eurasia,Tai-Kadai
khva1239,3,Eurasia,Nakh-Daghestanian
komi1268,1,Eurasia,Uralic
kosh1245,1,Eurasia,Nakh-Daghestanian
kryt1240,1,Eurasia,Nakh-Daghestanian
kuba1248,1,Eurasia,Nakh-Daghestanian
kumy1244,6,Eurasia,Turkic
lakk1238,1,Eurasia,Tai-Kadai
lakk1252,4,Eurasia,Nakh-Daghestanian
lang1316,1,Eurasia,Tai-Kadai
lati1261,1,Eurasia,Indo-European
latv1249,1,Eurasia,Indo-European
lezg1247,3,Eurasia,Nakh-Daghestanian
lith1251,1,Eurasia,Indo-European
luuu1242,1,Eurasia,Tai-Kadai
maca1260,1,South America,Mataguayan
macu1259,1,South America,Cariban
male1282,2,Eurasia,Austroasiatic
mang1378,1,Eurasia,Austroasiatic
manm1238,2,Eurasia,Austroasiatic
mans1258,1,Eurasia,Uralic
maon1241,1,Eurasia,Tai-Kadai
maor1246,1,Papunesia,Austronesian
mapu1245,1,South America,Araucanian
midd1317,1,Eurasia,Indo-European
midd1343,1,Eurasia,Indo-European
mlab1235,1,Eurasia,Austroasiatic
moco1246,1,South America,Guaicuruan
mode1248,1,Eurasia,Indo-European
mose1249,1,South America,isolate_mose1249
movi1243,1,South America,isolate_movi1243
mula1253,1,Eurasia,Tai-Kadai
nege1244,1,North America,Indo-European
nene1249,1,Eurasia,Uralic
nina1238,1,South America,Yanomamic
niva1238,1,South America,Mataguayan
noga1249,1,Eurasia,Turkic
nort1545,1,Eurasia,Hmong-Mien
nort2671,1,Eurasia,Uralic
nort2684,1,Eurasia,Austroasiatic
nort2697,2,Eurasia,Turkic
nort2740,1,Eurasia,Tai-Kadai
nort2971,1,South America,Lengua-Mascoy
nucl1235,1,Eurasia,Indo-European
nucl1290,1,Eurasia,Austroasiatic
nung1283,1,Eurasia,Tai-Kadai
nyah1250,1,Eurasia,Austroasiatic
oduu1239,1,Eurasia,Austroasiatic
olda1245,1,Eurasia,Afro-Asiatic
olde1238,1,Eurasia,Indo-European
oldh1241,1,Eurasia,Indo-European
oldi1245,1,Eurasia,Indo-European
oldn1244,1,Eurasia,Indo-European
paez1247,1,South America,isolate_paez1247
pano1254,1,South America,Pano-Tacanan
para1311,1,South America,Tupian
pear1247,1,Eurasia,Austroasiatic
phai1238,1,Eurasia,Austroasiatic
phon1246,1,Eurasia,Austroasiatic
pila1245,1,South America,Guaicuruan
polc1243,1,Africa,Afro-Asiatic
poli1260,1,Eurasia,Indo-European
port1283,1,Eurasia,Indo-European
puin1248,1,South America,isolate_puin1248
pume1238,1,South America,isolate_pume1238
qaua1234,1,Eurasia,Tai-Kadai
rapa1244,1,Papunesia,Austronesian
roma1327,1,Eurasia,Indo-European
rotu1241,1,Papunesia,Austronesian
ruma1248,1,Eurasia,Austroasiatic
russ1263,1,Eurasia,Indo-European
rutu1240,5,Eurasia,Nakh-Daghestanian
sana1298,1,South America,Lengua-Mascoy
sans1269,1,Eurasia,Indo-European
selk1253,1,Eurasia,Uralic
seri1257,1,North America,isolate_seri1257
shan1277,2,Eurasia,Tai-Kadai
ship1254,1,South America,Pano-Tacanan
somr1240,1,Eurasia,Austroasiatic
sout1528,1,Eurasia,Indo-European
sout2741,1,Eurasia,Tai-Kadai
sout2746,2,Eurasia,Tai-Kadai
sout3261,1,Eurasia,Nakh-Daghestanian
stan1288,1,Eurasia,Indo-European
stan1289,1,Eurasia,Indo-European
stan1290,1,Eurasia,Indo-European
stan1293,1,Africa;Eurasia;South America,Indo-European
stan1295,1,Eurasia,Indo-European
suii1243,1,Eurasia,Tai-Kadai
suoy1242,1,Eurasia,Austroasiatic
swed1254,1,Eurasia,Indo-European
taba1259,2,Eurasia,Nakh-Daghestanian
taca1256,1,South America,Pano-Tacanan
tain1252,1,Eurasia,Tai-Kadai
thai1261,1,Eurasia,Tai-Kadai
tind1238,1,Eurasia,Nakh-Daghestanian
toba1269,1,South America,Guaicuruan
tong1325,1,Papunesia,Austronesian
tosk1239,1,Eurasia,Indo-European
tsak1249,2,Eurasia,Nakh-Daghestanian
tuyu1244,1,South America,Tucanoan
udii1243,1,Eurasia,Nakh-Daghestanian
udmu1245,1,Eurasia,Uralic
vlax1238,1,Eurasia,Indo-European
waiw1244,1,South America,Cariban
waor1240,1,South America,isolate_waor1240
wapi1253,1,South America,Arawakan
waur1244,1,South America,Arawakan
waya1270,1,South America,Tupian
wayu1243,1,South America,Arawakan
wels1247,1,Eurasia,Indo-European
west2369,1,Eurasia,Indo-European
wich1264,1,South America,Mataguayan
yagu1244,1,South America,Peba-Yagua
yami1256,1,South America,Pano-Tacanan
yano1262,1,South America,Yanomamic
yuwa1244,1,South America,isolate_yuwa1244
zaca1242,1,North America,Otomanguean
zuni1245,1,North America,isolate_zuni1245
zuoj1238,1,Eurasia,Tai-Kadai
