original_word	lemmatized_word
1	1
10	10
100	100
1000	1000
10th	10th
11	11
12	12
120	120
125	125
12th	12th
13	13
13th	13th
14	14
14th	14th
15	15
150	150
15th	15th
16	16
17	17
18	18
19	19
19th	19th
1st	1st
2	2
20	20
200	200
20th	20th
21	21
21st	21st
22nd	22nd
23	23
24	24
25	25
25th	25th
26	26
26s	26
27th	27th
28	28
28th	28th
29	29
29th	29th
2nd	2nd
3	3
30	30
300	300
30th	30th
31	31
34	34
35	35
36	36
37	37
38	38
3rd	3rd
4	4
40	40
400	400
40th	40th
42	42
43	43
46	46
4th	4th
5	5
50	50
500	500
53	53
54	54
55	55
56	56
57	57
59	59
5th	5th
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
68	68
69	69
6th	6th
7	7
70	70
70s	70
71	71
72	72
73	73
75	75
77	77
78	78
79	79
7th	7th
8	8
80	80
82	82
83	83
84	84
85	85
87	87
88	88
89	89
8th	8th
9	9
90	90
91	91
92	92
94	94
96	96
99	99
a	a
aa	aa
aaa	aaa
aah	aah
aardvark	aardvark
aas	aa
aback	aback
abandon	abandon
abandoned	abandoned
abbreviated	abbreviated
abdomen	abdomen
abel	abel
abet	abet
abilities	ability
ability	ability
abject	abject
abkhaz	abkhaz
abkhazia	abkhazia
ablaze	ablaze
able	able
ablutions	ablution
abnormal	abnormal
aboard	aboard
aboriginal	aboriginal
aborts	abort
about	about
above	above
abraham	abraham
abreast	abreast
abroad	abroad
abruptly	abruptly
absence	absence
absent	absent
absolute	absolute
absolutely	absolutely
absolutions	absolution
absorbed	absorbed
abuja	abuja
abundance	abundance
abundant	abundant
abundantly	abundantly
ac	ac
acacia	acacia
academician	academician
academics	academic
acc	acc
accent	accent
accept	accept
acceptance	acceptance
accepted	accepted
accepts	accepts
access	access
accessible	accessible
accessories	accessory
accident	accident
accidental	accidental
accidentally	accidentally
accompanied	accompanied
accompanies	accompanies
accompany	accompany
accompanying	accompanying
accomplish	accomplish
accomplished	accomplished
accordance	accordance
according	according
accordingly	accordingly
accountant	accountant
accumulate	accumulate
accumulated	accumulated
accumulates	accumulates
accurate	accurate
accused	accused
accustom	accustom
accustomed	accustomed
ache	ache
ached	ached
aches	ache
achieve	achieve
achieved	achieved
achievements	achievement
aching	aching
acidity	acidity
acknowledge	acknowledge
acorn	acorn
acorns	acorn
acoustic	acoustic
acquaintance	acquaintance
acquaintances	acquaintance
acquainted	acquainted
acquire	acquire
acquired	acquired
acre	acre
acres	acre
acrid	acrid
across	across
act	act
acted	acted
acting	acting
action	action
actions	action
