concepticon_id,name_clean
965,world
626,earth
626,land
1228,earth
1228,ground
1228,soil
2,dust
640,mud
671,sand
2118,mountain
2118,hill
618,cliff
618,precipice
652,plain
652,field
921,valley
622,island
166,mainland
113,shore
1155,cave
948,water
1474,sea
259,rough
1768,foam
645,ocean
624,lake
663,gulf
663,bay
623,lagoon
660,reef
1662,headland
1662,point
978,wave
891,tide
1026,lowtide
613,hightide
3311,river
3311,stream
3311,brook
1982,whirlpool
2144,spring
2144,well
1145,swamp
943,waterfall
420,woods
420,forest
1803,wood
2125,stone
2125,rock
6,earthquake
1732,sky
1343,sun
1313,moon
1430,star
1654,lightning
1150,thunder
2007,lightning
858,storm
1733,rainbow
630,light
11,darkness
1388,shade
1388,shadow
1977,dew
27,air
960,wind
1489,cloud
249,fog
658,rain
784,snow
617,ice
952,weather
221,fire
889,flame
778,smoke
646,ashes
67,embers
141,burn
1428,burn
737,light
737,kindle
737,ignite
127,extinguish
1133,match
10,firewood
1188,charcoal
683,person
1554,man
962,woman
2261,male
2260,female
1366,boy
1646,girl
1304,child
1289,infant
1289,baby
1200,husband
1199,wife
203,marry
1134,divorce
1217,father
1216,mother
505,parents
1620,son
1357,daughter
1801,offspring
1262,brother
1263,sister
1640,sibling
1005,twins
1383,grandfather
1496,grandmother
1618,grandson
1619,granddaughter
1327,uncle
1272,aunt
1063,nephew
1642,niece
1643,cousin
1669,ancestors
490,descendants
2255,father-in-law
2254,father-in-law
2257,mother-in-law
2256,mother-in-law
2267,son-in-law
2266,son-in-law
2265,daughter-in-law
2264,daughter-in-law
237,stepfather
236,stepmother
1059,stepson
1058,stepdaughter
1149,orphan
1756,widow
1981,widower
1644,relatives
1644,kinsmen
194,family
1209,I
1215,you
262,he
262,she
262,it
1212,we
1131,we
1130,we
1213,you
817,they
619,animal
2263,male
2262,female
631,livestock
649,pasture
263,herdsman
851,stable
851,stall
1153,cattle
1008,bull
1169,ox
1007,cow
1989,calf
1331,sheep
1344,ram
1345,ewe
820,lamb
1348,boar
1351,sow
1337,pig
1502,goat
2475,he-goat
1972,kid
615,horse
936,stallion
938,mare
1647,foal
1647,colt
1862,ass
1862,donkey
890,mule
265,fowl
1511,cock
1511,rooster
1514,hen
1318,chicken
1187,goose
1360,duck
539,nest
937,bird
950,seagull
758,heron
