original_word	lemmatized_word
'hood	'hood
0	0
0s	0
1	1
1-hitter	1-hitter
10	10
100	100
1000	1000
10000	10000
100000	100000
1000000	1000000
1000000000	1000000000
1000s	1000
1000th	1000th
100s	100
100th	100th
101	101
101st	101st
105	105
105th	105th
10S	10S
10est	10est
10s	10
10th	10th
11	11
11-plus	11-plus
110	110
110th	110th
115	115
115th	115th
11est	11est
11s	11
11th	11th
12	12
120	120
120s	120
120th	120th
125	125
125th	125th
12est	12est
12s	12
12th	12th
13	13
130	130
130th	130th
135	135
135th	135th
13s	13
13th	13th
14	14
140	140
140th	140th
144	144
145	145
145th	145th
14er	14er
14s	14
14th	14th
15	15
150	150
150th	150th
1530s	1530s
155	155
155th	155th
15est	15est
15s	15
15th	15th
16	16
160	160
160th	160th
165	165
165th	165th
16s	16
16th	16th
17	17
170	170
170th	170th
1728	1728
175	175
1750s	1750s
175th	175th
1760s	1760s
1770s	1770s
1780s	1780s
1790s	1790s
17s	17
17th	17th
18	18
180	180
180th	180th
1820s	1820s
1830s	1830s
1840s	1840s
1850s	1850s
1860s	1860s
1870s	1870s
1880s	1880s
1890s	1890s
18er	18er
18s	18
18th	18th
19	19
190	190
1900s	1900s
190th	190th
1920s	1920s
1930s	1930s
1940s	1940s
1950s	1950s
1960s	1960s
1970s	1970s
1980s	1980s
1990s	1990s
19s	19
19th	19th
1er	1er
1est	1est
1s	1
1st	1st
2	2
2-dimensional	2-dimensional
2-hitter	2-hitter
20	20
20/20	20/20
200	200
200th	200th
20s	20
20ss	20
20th	20th
21	21
21s	21
21st	21st
22	22
22er	22er
22nd	22nd
22s	22
23	23
23rd	23rd
23s	23
24	24
24/7	24/7
24s	24
24th	24th
25	25
25s	25
25th	25th
26	26
26s	26
26th	26th
27	27
27s	27
27th	27th
28	28
28s	28
28th	28th
29	29
29er	29er
29th	29th
2D	2D
2d	2d
2er	2er
2nd	2nd
2s	2
2ss	2
3	3
3-d	3-d
3-dimensional	3-dimensional
3-hitter	3-hitter
30	30
300	300
300th	300th
30est	30est
30s	30
30th	30th
31	31
31st	31st
32	32
32nd	32nd
33	33
33rd	33rd
34	34
34th	34th
35	35
35th	35th
36	36
36th	36th
37	37
37th	37th
38	38
38th	38th
39	39
39th	39th
3D	3D
3d	3d
3ds	3d
3er	3er
3est	3est
3rd	3rd
3s	3
3ssssss	3
3tc	3tc
4	4
4-dimensional	4-dimensional
4-hitter	4-hitter
40	40
400	400
400th	400th
401-k	401-k
40s	40
40th	40th
41	41
41st	41st
42	42
42nd	42nd
43	43
43rd	43rd
44	44
44th	44th
45	45
45th	45th
46	46
46th	46th
47	47
47th	47th
48	48
48th	48th
49	49
49er	49er
49th	49th
4er	4er
4s	4
4ssssss	4
4th	4th
4wd	4wd
4wds	4wd
5	5
5-hitter	5-hitter
50	50
500	500
500s	500
500th	500th
50s	50
50th	50th
51	51
52	52
53	53
54	54
55	55
55th	55th
56	56
57	57
58	58
59	59
59est	59est
5er	5er
5s	5
5th	5th
6	6
60	60
60s	60
60ss	60
60th	60th
61	61
62	62
63	63
64	64
64th	64th
65	65
65th	65th
66	66
67	67
68	68
69	69
69er	69er
6er	6er
6s	6
6th	6th
7	7
70	70
70s	70
70th	70th
71	71
72	72
73	73
74	74
75	75
75th	75th
76	76
76er	76er
77	77
78	78
78s	78
79	79
7est	7est
7s	7
7th	7th
8	8
80	80
80s	80
80th	80th
81	81
82	82
83	83
84	84
85	85
85th	85th
86	86
86er	86er
87	87
88	88
89	89
8er	8er
8est	8est
8s	8
8th	8th
9	9
9-11	9-11
9-11s	9-11
9/11	9/11
90	90
90s	90
90th	90th
91	91
92	92
93	93
94	94
95	95
95th	95th
96	96
96er	96er
97	97
98	98
99	99
99er	99er
9er	9er
9est	9est
9s	9
9th	9th
AAA	AAA
ABC	ABC
AC	AC
ADD	ADD
AI	AI
AID	AID
AIR	AIR
ALAS	ALAS
ALS	ALS
AM	AM
AMS	AMS
ANS	ANS
APR	APR
ARCH	ARCH
ARIA	ARIA
ARMS	ARMS
ASCII	ASCII
ASL	ASL
ASS	ASS
AT	AT
ATM	ATM
ATP	ATP
AV	AV
AWN	AWN
AWOL	AWOL
Aa	Aa
Aaron	Aaron
Aback	Aback
Abb	Abb
Abbot	Abbot
Abel	Abel
Aberdeen	Aberdeen
Able	Able
Aboriginal	Aboriginal
Aboriginals	Aboriginals
Aborigine	Aborigine
Aborigines	Aborigines
Abraham	Abraham
Absent	Absent
Absinthe	Absinthe
Abstinence	Abstinence
Abuja	Abuja
Abundant	Abundant
Abutment	Abutment
Acadia	Acadia
Acapulco	Acapulco
Accentuate	Accentuate
Acceptable	Acceptable
Accessibility	Accessibility
Accessories	Accessories
Accident	Accident
Accommodation	Accommodation
Accomplished	Accomplished
Accordion	Accordion
Accra	Accra
Accuracy	Accuracy
Aces	Aces
Ache	Ache
Achieve	Achieve
Achievement	Achievement
Achilles	Achilles
Acquaintance	Acquaintance
Acquiesce	Acquiesce
Acrophobia	Acrophobia
Activist	Activist
Activity	Activity
Acyclovir	Acyclovir
Ad	Ad
Ada	Ada
Adage	Adage
Adam	Adam
Adams	Adams
Ade	Ade
Adelaide	Adelaide
Aden	Aden
Adenine	Adenine
Adenoid	Adenoid
Adonis	Adonis
Adrian	Adrian
Adultery	Adultery
Adventures	Adventures
Adventurous	Adventurous
Adverser	Adverser
Advertisement	Advertisement
Advertisements	Advertisements
Advil	Advil
Aegean	Aegean
Aeneas	Aeneas
Aeolus	Aeolus
Aesculapius	Aesculapius
Aesop	Aesop
Afar	Afar
Affluent	Affluent
Afghan	Afghan
Afghanistan	Afghanistan
Africa	Africa
African	African
African-American	African-American
African-Americans	African-Americans
Africans	Africans
Afrikaans	Afrikaans
Afrikaner	Afrikaner
Afro-American	Afro-American
Afro-Americans	Afro-Americans
Aga	Aga
Agar	Agar
Aggravated	Aggravated
Aggravating	Aggravating
Aggression	Aggression
Aggressive	Aggressive
Agincourt	Agincourt
Aging	Aging
Agitated	Agitated
Aglaia	Aglaia
Agra	Agra
Agricola	Agricola
Agua	Agua
Ahab	Ahab
Aikido	Aikido
Aims	Aims
Airborne	Airborne
Airman	Airman
Airplane	Airplane
Ajax	Ajax
Al	Al
Al-Qaeda	Al-Qaeda
Alabama	Alabama
Aladdin	Aladdin
Alamo	Alamo
Alar	Alar
Alaska	Alaska
Alb	Alb
Albania	Albania
Albany	Albany
Albatross	Albatross
Albert	Albert
Alberta	Alberta
Albion	Albion
Albuquerque	Albuquerque
Alcohol	Alcohol
Aldebaran	Aldebaran
Aleppo	Aleppo
Alexander	Alexander
Alexandria	Alexandria
Alfalfa	Alfalfa
Alfred	Alfred
Algeria	Algeria
Algorithm	Algorithm
Alhambra	Alhambra
Ali	Ali
Aliens	Aliens
Alignment	Alignment
Aline	Aline
Alka-Seltzer	Alka-Seltzer
Alkyd	Alkyd
Allah	Allah
Alleged	Alleged
Allemande	Allemande
Allen	Allen
Alliance	Alliance
Allium	Allium
Allowance	Allowance
Almaty	Almaty
Alpine	Alpine
Alps	Alps
Alsatian	Alsatian
Alt	Alt
Altos	Altos
Aluminum	Aluminum
Alzheimer's	Alzheimer's
Amain	Amain
Amarillo	Amarillo
Amateur	Amateur
Amazing	Amazing
Amazon	Amazon
Ambient	Ambient
Amble	Amble
Ambler	Ambler
Ambrose	Ambrose
Amelia	Amelia
America	America
American	American
Americana	Americana
Americanism	Americanism
Americanisms	Americanisms
Americanization	Americanization
Americans	Americans
Americas	Americas
Amerindian	Amerindian
Amicable	Amicable
Amine	Amine
Amish	Amish
Ammoniac	Ammoniac
Amoebic	Amoebic
Amok	Amok
Amos	Amos
Amphetamine	Amphetamine
Amplify	Amplify
Amsterdam	Amsterdam
Amundsen	Amundsen
Ana	Ana
Anaheim	Anaheim
Anatolia	Anatolia
Anatomists	Anatomists
Anchorage	Anchorage
Ancient	Ancient
Andalusian	Andalusian
Andante	Andante
Andersen	Andersen
Anderson	Anderson
Andes	Andes
Andrew	Andrew
Android	Android
Andromeda	Andromeda
Anesthesia	Anesthesia
Anesthesiology	Anesthesiology
Angelica	Angelica
Angelus	Angelus
Anglican	Anglican
Anglo-Saxon	Anglo-Saxon
Angola	Angola
Angstrom	Angstrom
Anguish	Anguish
Angus	Angus
Anil	Anil
Anima	Anima
Anna	Anna
Annapolis	Annapolis
Anne	Anne
Annihilate	Annihilate
Answer	Answer
Antarctic	Antarctic
Antarctica	Antarctica
Antediluvian	Antediluvian
Antennae	Antennae
Antes	Antes
Anthony	Anthony
Anthropology	Anthropology
Antichrist	Antichrist
Anticipate	Anticipate
Antigua	Antigua
Antihero	Antihero
Antilles	Antilles
Antioxidants	Antioxidants
Antiperspirant	Antiperspirant
Antipodes	Antipodes
Antony	Antony
Ants	Ants
Antwerp	Antwerp
Anubis	Anubis
Apartheid	Apartheid
Apartment	Apartment
Aperture	Aperture
Aphrodite	Aphrodite
Apocalypse	Apocalypse
Apocalyptic	Apocalyptic
Apocrypha	Apocrypha
Apollo	Apollo
Apostrophe	Apostrophe
Appalachia	Appalachia
Appalachian	Appalachian
Appalachians	Appalachians
Appeal	Appeal
Appearance	Appearance
Applause	Applause
Appreciate	Appreciate
Appreciated	Appreciated
Appreciation	Appreciation
April	April
Aquarium	Aquarium
Aquarius	Aquarius
Aquinas	Aquinas
Ar	Ar
Ara	Ara
Arab	Arab
Arabia	Arabia
Arabian	Arabian
Arabic	Arabic
Arabs	Arabs
Arbor	Arbor
Arborvitae	Arborvitae
Arcadia	Arcadia
Archaic	Archaic
Archeology	Archeology
Archery	Archery
Archimedes	Archimedes
Architect	Architect
Architecture	Architecture
Arco	Arco
Arctic	Arctic
Ares	Ares
Argentina	Argentina
Argentinian	Argentinian
Argo	Argo
Argos	Argos
Argument	Argument
Argus	Argus
Aries	Aries
Aristocrats	Aristocrats
Aristophanes	Aristophanes
Aristotelean	Aristotelean
Aristotle	Aristotle
Arithmetic	Arithmetic
Arizona	Arizona
Arkansas	Arkansas
Arlington	Arlington
Armageddon	Armageddon
Armagnac	Armagnac
Armenia	Armenia
Armenians	Armenians
Armin	Armin
Armour	Armour
Armstrong	Armstrong
Arnold	Arnold
Arrowhead	Arrowhead
Art	Art
Artemis	Artemis
Arthur	Arthur
Arty	Arty
Aryan	Aryan
Asama	Asama
Ascension	Ascension
Ascetic	Ascetic
Ascot	Ascot
Ash	Ash
Ashkenazim	Ashkenazim
Asia	Asia
Asian	Asian
Asians	Asians
Asimov	Asimov
Aspen	Aspen
Asphalt	Asphalt
Aspirations	Aspirations
Aspirin	Aspirin
Assam	Assam
Assemblage	Assemblage
Asses	Asses
Assess	Assess
Assistant	Assistant
Association	Association
Assyria	Assyria
Astor	Astor
Astral	Astral
Astronaut	Astronaut
Astronomy	Astronomy
At	At
Atheism	Atheism
Atheist	Atheist
Athena	Athena
Athens	Athens
Athlete	Athlete
Athletes	Athletes
Athletic	Athletic
Atlanta	Atlanta
Atlantic	Atlantic
Atlantis	Atlantis
Atonement	Atonement
Atrocity	Atrocity
Attempt	Attempt
Attic	Attic
Attica	Attica
Atticus	Atticus
Attila	Attila
Au	Au
Auckland	Auckland
Audience	Audience
Audubon	Audubon
Aught	Aught
August	August
Augusta	Augusta
Augustine	Augustine
Augustus	Augustus
Aurora	Aurora
Auschwitz	Auschwitz
Aussie	Aussie
Austen	Austen
Austin	Austin
Australia	Australia
Australian	Australian
Austria	Austria
Austrian	Austrian
Authoritarian	Authoritarian
Authoritative	Authoritative
Authorization	Authorization
Automobile	Automobile
Autumn	Autumn
Avenger	Avenger
Avert	Avert
Avon	Avon
Awareness	Awareness
Awful	Awful
Axis	Axis
Azerbaijan	Azerbaijan
Aztec	Aztec
Aztecs	Aztecs
BAN	BAN
BAT	BAT
BBL	BBL
BC	BC
BE	BE
BEND	BEND
BES	BES
BI	BI
BIS	BIS
BLT	BLT
BOLD	BOLD
BOP	BOP
BRAG	BRAG
BUY	BUY
Baal	Baal
Baba	Baba
Babel	Babel
Baby	Baby
Babylon	Babylon
Bacchanals	Bacchanals
Bacchus	Bacchus
Bach	Bach
Bachelorette	Bachelorette
Backpack	Backpack
Backwards	Backwards
Baghdad	Baghdad
Baguette	Baguette
Bahamas	Bahamas
Baht	Baht
Bail	Bail
Bailey	Bailey
Baileys	Baileys
Bakelite	Bakelite
Baker	Baker
Bakersfield	Bakersfield
Balboa	Balboa
Baldrick	Baldrick
Balfour	Balfour
Bali	Bali
Balkans	Balkans
Baltic	Baltic
Baltimore	Baltimore
Ban	Ban
Bangkok	Bangkok
Bangladesh	Bangladesh
Bank	Bank
Bankruptcy	Bankruptcy
Banks	Banks
Bannister	Bannister
Bantam	Bantam
Bantu	Bantu
Bar	Bar
Barb	Barb
Barbados	Barbados
Barbecue	Barbecue
Barberry	Barberry
Barbital	Barbital
Barcelona	Barcelona
Barde	Barde
Bari	Bari
Bark	Bark
Barker	Barker
Barn	Barn
Barnum	Barnum
Barrow	Barrow
Barrows	Barrows
Bart	Bart
Bartholdi	Bartholdi
Bartlett	Bartlett
Base	Base
Basel	Basel
Baseness	Baseness
Basilica	Basilica
Basket	Basket
Basso	Basso
Bastille	Bastille
Bataan	Bataan
Bates	Bates
Bathsheba	Bathsheba
Batman	Batman
Baudelaire	Baudelaire
Bavaria	Bavaria
Bavarian	Bavarian
Bay	Bay
Bayard	Bayard
Bayer	Bayer
Bayes	Bayes
Bayesian	Bayesian
Bazar	Bazar
Bbs	Bbs
Be	Be
Beadle	Beadle
Beano	Beano
Bear	Bear
Bearnaise	Bearnaise
Beatles	Beatles
Beatrice	Beatrice
Beautiful	Beautiful
Beautifully	Beautifully
Beauty	Beauty
Beck	Beck
Beckett	Beckett
Becks	Becks
Becquerel	Becquerel
Bedevil	Bedevil
Bedouin	Bedouin
Bedroom	Bedroom
Beecher	Beecher
Beefeater	Beefeater
Beelzebub	Beelzebub
Beer	Beer
Beery	Beery
Beethoven	Beethoven
Begging	Begging
Beginning	Beginning
Behavior	Behavior
Behavioral	Behavioral
Behaviors	Behaviors
Beijing	Beijing
Beirut	Beirut
Bel	Bel
Belarus	Belarus
Belfast	Belfast
Belgian	Belgian
Belgium	Belgium
