concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_ids
965,world,The physical world,Person/Thing,Noun,0.915112
626,land,The physical world,Person/Thing,Noun,0.974148
1228,earth,The physical world,Person/Thing,Noun,0.969954
2,dust,The physical world,Person/Thing,Noun,0.981183
640,mud,The physical world,Person/Thing,Noun,0.989205
671,sand,The physical world,Person/Thing,Noun,0.995995
2118,mountain or hill,The physical world,Person/Thing,Noun,1
618,precipice,The physical world,Person/Thing,Noun,0.844795
652,plain,The physical world,Person/Thing,Noun,0.971175
921,valley,The physical world,Person/Thing,Noun,0.825744
622,island,The physical world,Person/Thing,Noun,0.795272
166,mainland,The physical world,Person/Thing,Noun,0.582186
113,shore,The physical world,Person/Thing,Noun,0.948567
1155,cave,The physical world,Person/Thing,Noun,0.920841
948,water,The physical world,Person/Thing,Noun,0.999149
1474,sea,The physical world,Person/Thing,Noun,0.846713
259,rough,The physical world,Property,Adjective,0.648351
1768,foam,The physical world,Person/Thing,Noun,0.960607
645,ocean,The physical world,Person/Thing,Noun,0.694864
624,lake,The physical world,Person/Thing,Noun,0.889431
663,bay,The physical world,Person/Thing,Noun,0.480127
1662,cape,The physical world,Person/Thing,Noun,0.494833
978,wave,The physical world,Person/Thing,Noun,0.799177
891,tide,The physical world,Person/Thing,Noun,0.361161
1026,low tide,The physical world,Person/Thing,Noun,0.403323
613,high tide,The physical world,Person/Thing,Noun,0.392281
3311,flowing body of water,The physical world,Person/Thing,Noun,0.985346
1982,whirlpool,The physical world,Person/Thing,Noun,0.716931
2144,spring or well,The physical world,Person/Thing,Noun,0.960811
1145,swamp,The physical world,Person/Thing,Noun,0.878556
943,waterfall,The physical world,Person/Thing,Noun,0.715604
420,forest,The physical world,Person/Thing,Noun,0.982371
1803,wood,The physical world,Person/Thing,Noun,0.989546
2125,stone or rock,The physical world,Person/Thing,Noun,0.979501
6,earthquake,The physical world,Person/Thing,Noun,0.805115
1732,sky,The physical world,Person/Thing,Noun,1
1343,sun,The physical world,Person/Thing,Noun,1
1313,moon,The physical world,Person/Thing,Noun,0.989965
1430,star,The physical world,Person/Thing,Noun,0.996077
1654,lightning,The physical world,Person/Thing,Noun,0.993815
1150,thunder,The physical world,Person/Thing,Noun,0.987397
2007,bolt,The physical world,Person/Thing,Noun,0.87673
858,storm,The physical world,Person/Thing,Noun,0.884158
1733,rainbow,The physical world,Person/Thing,Noun,0.950748
630,light,The physical world,Person/Thing,Noun,0.994683
11,darkness,The physical world,Person/Thing,Noun,0.978983
1388,shade,The physical world,Person/Thing,Noun,0.997928
1977,dew,The physical world,Person/Thing,Noun,0.938046
27,air,The physical world,Person/Thing,Noun,0.78810500000000006
960,wind,The physical world,Person/Thing,Noun,1
1489,cloud,The physical world,Person/Thing,Noun,0.992179
249,fog,The physical world,Person/Thing,Noun,0.958086
658,rain,The physical world,Person/Thing,Noun,1
784,snow,The physical world,Person/Thing,Noun,0.660601
617,ice,The physical world,Person/Thing,Noun,0.835872
952,weather,The physical world,Person/Thing,Noun,0.617217
221,fire,The physical world,Person/Thing,Noun,1
889,flame,The physical world,Person/Thing,Noun,0.916348
778,smoke,The physical world,Person/Thing,Noun,1
646,ash,The physical world,Person/Thing,Noun,1
67,embers,The physical world,Person/Thing,Noun,0.943572
141,burn,The physical world,Action/Process,Verb,0.990397
1428,burning,The physical world,Action/Process,Verb,0.9469
737,light,The physical world,Action/Process,Verb,0.993284
127,extinguish,The physical world,Action/Process,Verb,0.943375
1133,match,The physical world,Person/Thing,Noun,0.89343
10,firewood,The physical world,Person/Thing,Noun,0.985767
1188,charcoal,The physical world,Person/Thing,Noun,0.947805
683,person,Kinship,Person/Thing,Noun,0.97875
1554,man,Kinship,Person/Thing,Noun,1
962,woman,Kinship,Person/Thing,Noun,1
2261,male,Kinship,Property,Adjective,0.987675
2260,female,Kinship,Property,Adjective,0.983031
1366,boy,Kinship,Person/Thing,Noun,0.987723
1646,girl,Kinship,Person/Thing,Noun,0.983945
1304,child,Kinship,Person/Thing,Noun,1
1289,baby,Kinship,Person/Thing,Noun,0.990499
1200,husband,Kinship,Person/Thing,Noun,1
1199,wife,Kinship,Person/Thing,Noun,1
203,marry,Kinship,Action/Process,Verb,0.966507
1134,divorce,Kinship,Person/Thing,Noun,0.843281
1217,father,Kinship,Person/Thing,Noun,0.986984
1216,mother,Kinship,Person/Thing,Noun,0.92276
505,parents,Kinship,Person/Thing,Noun,0.847011
1620,son,Kinship,Person/Thing,Noun,0.982188
1357,daughter,Kinship,Person/Thing,Noun,0.982188
1801,child,Kinship,Person/Thing,Noun,0.829008
1262,brother,Kinship,Person/Thing,Noun,0.834258
1263,sister,Kinship,Person/Thing,Noun,0.817176
1640,sibling,Kinship,Person/Thing,Noun,0.707548
1005,twins,Kinship,Person/Thing,Noun,0.885017
1383,grandfather,Kinship,Person/Thing,Noun,0.988606
1496,grandmother,Kinship,Person/Thing,Noun,0.977592
1618,grandson,Kinship,Person/Thing,Noun,0.954387
1619,granddaughter,Kinship,Person/Thing,Noun,0.947499
1327,uncle,Kinship,Person/Thing,Noun,0.762886
1272,aunt,Kinship,Person/Thing,Noun,0.76985
1063,nephew,Kinship,Person/Thing,Noun,0.850458
1642,niece,Kinship,Person/Thing,Noun,0.833856
1643,cousin,Kinship,Person/Thing,Noun,0.825861
1669,ancestors,Kinship,Person/Thing,Noun,0.919348
490,descendants,Kinship,Person/Thing,Noun,0.824716
2255,father-in-law,Kinship,Person/Thing,Noun,0.932193
2254,father-in-law,Kinship,Person/Thing,Noun,0.835725
2257,mother-in-law,Kinship,Person/Thing,Noun,0.928303
2256,mother-in-law,Kinship,Person/Thing,Noun,0.820664
2267,son-in-law,Kinship,Person/Thing,Noun,0.95284
2266,son-in-law,Kinship,Person/Thing,Noun,0.862817
2265,daughter-in-law,Kinship,Person/Thing,Noun,0.908671
2264,daughter-in-law,Kinship,Person/Thing,Noun,0.836816
237,stepfather,Kinship,Person/Thing,Noun,0.854695
236,stepmother,Kinship,Person/Thing,Noun,0.868059
1059,stepson,Kinship,Person/Thing,Noun,0.75917
1058,stepdaughter,Kinship,Person/Thing,Noun,0.711625
1149,orphan,Kinship,Person/Thing,Noun,0.920228
1756,widow,Kinship,Person/Thing,Noun,0.972121
1981,widower,Kinship,Person/Thing,Noun,0.908849
1644,relatives,Kinship,Person/Thing,Noun,0.976042
194,family,Kinship,Person/Thing,Noun,0.868091
1209,i,Kinship,Other,Function word,0.988167
1215,thou,Kinship,Other,Function word,0.988167
262,he or she or it,Kinship,Other,Function word,0.959411
1212,we,Kinship,Other,Function word,0.820646
1131,we,Kinship,Other,Function word,0.577077
1130,we,Kinship,Other,Function word,0.557395
1213,you,Kinship,Other,Function word,0.983842
817,they,Kinship,Other,Function word,0.959411
619,animal,Animals,Person/Thing,Noun,0.921842
2263,male,Animals,Property,Adjective,0.919715
2262,female,Animals,Property,Adjective,0.911927
631,livestock,Animals,Person/Thing,Noun,0.743275
649,pasture,Animals,Person/Thing,Noun,0.749424
263,herdsman,Animals,Person/Thing,Noun,0.782864
851,stable,Animals,Person/Thing,Noun,0.732555
1153,cattle,Animals,Person/Thing,Noun,0.84273
1008,bull,Animals,Person/Thing,Noun,0.867157
1169,ox,Animals,Person/Thing,Noun,0.734976
1007,cow,Animals,Person/Thing,Noun,0.947046
1989,calf,Animals,Person/Thing,Noun,0.843792
1331,sheep,Animals,Person/Thing,Noun,0.854118
1344,ram,Animals,Person/Thing,Noun,0.714446
1345,ewe,Animals,Person/Thing,Noun,0.726149
820,lamb,Animals,Person/Thing,Noun,0.720515
1348,boar,Animals,Person/Thing,Noun,0.85131
1351,sow,Animals,Person/Thing,Noun,0.855601
1337,pig,Animals,Person/Thing,Noun,0.975599
1502,goat,Animals,Person/Thing,Noun,0.832451
