concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold
2,dust,The physical world,Person/Thing,Noun,1
3,brave,Emotions and values,Property,Adjective,1
6,earthquake,The physical world,Person/Thing,Noun,0.933712
7,gather,Spatial relations,Action/Process,Verb,1
8,curse,Religion and belief,Action/Process,Verb,0.950288
9,announce,Speech and language,Action/Process,Verb,0.949734
10,firewood,The physical world,Person/Thing,Noun,1
11,darkness,The physical world,Person/Thing,Noun,1
12,midday,Time,Person/Thing,Noun,0.976504
13,deceit,Emotions and values,Person/Thing,Noun,0.906031
14,yoke,Motion,Person/Thing,Noun,0.818287
17,eyelid,The body,Person/Thing,Noun,1
18,earlobe,The body,Person/Thing,Noun,0.933614
21,taste,Sense perception,Action/Process,Verb,0.918051
23,rye,Agriculture and vegetation,Person/Thing,Noun,0.422412
24,pray,Religion and belief,Action/Process,Verb,0.9152
27,air,The physical world,Person/Thing,Noun,0.816981
31,pan,Food and drink,Person/Thing,Noun,0.975107
32,earwax,The body,Person/Thing,Noun,0.974614
33,nettle,Agriculture and vegetation,Person/Thing,Noun,0.672844
40,envy,Emotions and values,Person/Thing,Noun,0.98417
42,stinking,Sense perception,Property,Adjective,1
43,lead,Motion,Action/Process,Verb,0.975345
48,be silent,Speech and language,Action/Process,Verb,0.965274
49,refuse,Speech and language,Action/Process,Verb,0.948266
52,shiver,The body,Action/Process,Verb,1
55,whisper,Speech and language,Action/Process,Verb,0.991224
56,bad luck,Emotions and values,Person/Thing,Noun,0.683766
60,oat,Agriculture and vegetation,Person/Thing,Noun,0.502189
64,pin,Clothing and grooming,Person/Thing,Noun,0.891525
65,ambush,Warfare and hunting,Person/Thing,Noun,0.814919
66,kneel,Motion,Action/Process,Verb,1
67,embers,The physical world,Person/Thing,Noun,1
68,tattoo,Clothing and grooming,Person/Thing,Noun,0.676466
70,brackish,Sense perception,Property,Adjective,0.675425
72,claw,Animals,Person/Thing,Noun,1
73,beak,The body,Person/Thing,Noun,1
80,doorpost,The house,Person/Thing,Noun,0.809505
81,fathom,Spatial relations,Person/Thing,Noun,0.493838
82,anger,Emotions and values,Person/Thing,Noun,1
83,forbid,Speech and language,Action/Process,Verb,0.945801
88,beehive,Animals,Person/Thing,Noun,0.926136
90,innocent,Law,Property,Adjective,0.738465
93,draw milk,Food and drink,Action/Process,Verb,0.941174
95,sandfly,Animals,Person/Thing,Noun,0.794475
98,all,Quantity,Other,Function word,1
