concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict
2,dust,The physical world,Person/Thing,Noun,1
3,brave,Emotions and values,Property,Adjective,1
6,earthquake,The physical world,Person/Thing,Noun,0.848298
8,curse,Religion and belief,Action/Process,Verb,0.821354
9,announce,Speech and language,Action/Process,Verb,0.824357
10,firewood,The physical world,Person/Thing,Noun,1
11,darkness,The physical world,Person/Thing,Noun,1
12,midday,Time,Person/Thing,Noun,0.920028
13,deceit,Emotions and values,Person/Thing,Noun,0.666564
14,yoke,Motion,Person/Thing,Noun,0.352685
18,earlobe,The body,Person/Thing,Noun,0.787391
21,taste,Sense perception,Action/Process,Verb,0.733276
23,rye,Agriculture and vegetation,Person/Thing,Noun,0.221669
24,pray,Religion and belief,Action/Process,Verb,0.741167
27,air,The physical world,Person/Thing,Noun,0.641886
31,pan,Food and drink,Person/Thing,Noun,0.914683
32,earwax,The body,Person/Thing,Noun,0.900255
33,nettle,Agriculture and vegetation,Person/Thing,Noun,0.361084
42,stinking,Sense perception,Property,Adjective,1
48,be silent,Speech and language,Action/Process,Verb,0.841402
55,whisper,Speech and language,Action/Process,Verb,0.910693
56,bad luck,Emotions and values,Person/Thing,Noun,0.403399
60,oat,Agriculture and vegetation,Person/Thing,Noun,0.274553
64,pin,Clothing and grooming,Person/Thing,Noun,0.67304
65,ambush,Warfare and hunting,Person/Thing,Noun,0.307812
66,kneel,Motion,Action/Process,Verb,1
67,embers,The physical world,Person/Thing,Noun,1
68,tattoo,Clothing and grooming,Person/Thing,Noun,0.481137
70,brackish,Sense perception,Property,Adjective,0.242812
80,doorpost,The house,Person/Thing,Noun,0.389071
81,fathom,Spatial relations,Person/Thing,Noun,0.187802
82,anger,Emotions and values,Person/Thing,Noun,1
83,forbid,Speech and language,Action/Process,Verb,0.849485
90,innocent,Law,Property,Adjective,0.323846
93,draw milk,Food and drink,Action/Process,Verb,0.763677
95,sandfly,Animals,Person/Thing,Noun,0.353501
98,all,Quantity,Other,Function word,1
100,faithful,Emotions and values,Property,Adjective,0.581343
101,boast,Speech and language,Action/Process,Verb,0.847959
107,omen,Religion and belief,Person/Thing,Noun,0.663418
108,rudder,Motion,Person/Thing,Noun,0.364763
112,turtle,Animals,Person/Thing,Noun,0.680113
113,shore,The physical world,Person/Thing,Noun,0.811523
117,imitate,Cognition,Action/Process,Verb,1
119,dive,Motion,Action/Process,Verb,0.65181
121,spin,Clothing and grooming,Action/Process,Verb,0.747125
