concepticon_id,name,description,final_synset,synonym,wordnet_id,count,definition,same_synset,annotation,comment
965,world,The Earth with all its inhabitants and all things upon it.,n9270894,Earth,NA,NA,NA,different,0,NA
965,world,The Earth with all its inhabitants and all things upon it.,n9270894,globe,n09270894,248,the 3rd planet from the sun; the planet we live on,different,1,NA
965,world,The Earth with all its inhabitants and all things upon it.,n9270894,earth,n09270894,669,the 3rd planet from the sun; the planet we live on,different,1,NA
965,world,The Earth with all its inhabitants and all things upon it.,n9270894,world,n09270894,6440,the 3rd planet from the sun; the planet we live on,different,1,NA
626,land,"A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization. (Source: WHIT)",n09334396,ground,n09334396,3751,the solid part of the earth's surface,same,1,NA
626,land,"A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization. (Source: WHIT)",n09334396,land,n13250048,1211,the land on which real estate is located,different,1,NA
626,land,"A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization. (Source: WHIT)",n09334396,earth,n09270894,669,the 3rd planet from the sun; the planet we live on,different,0,NA
1228,earth (soil),The soft and loose material forming a great part of the Earth surface.,n09335240,ground,n09334396,3751,the solid part of the earth's surface,different,1,NA
1228,earth (soil),The soft and loose material forming a great part of the Earth surface.,n09335240,land,n13250048,1211,the land on which real estate is located,different,0,NA
1228,earth (soil),The soft and loose material forming a great part of the Earth surface.,n09335240,soil,n14844693,606,the part of the earth's surface consisting of humus and disintegrated rock,different,1,NA
2,dust,Any kind of solid material divided in particles of very small size.,n14839846,dust,n14839846,1353,fine powdery material such as dry earth or pollen that can be blown about in the air,same,1,NA
640,mud,"A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments. (Source: WHIT)",n14956325,mud,n14956325,829,water soaked soil; soft wet earth,same,1,NA
640,mud,"A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments. (Source: WHIT)",n14956325,clay,n14813182,362,a very fine-grained soil that is plastic when moist but hard when fired,different,0,NA
671,sand,"A loose material consisting of small mineral particles, or rock and mineral particles, distinguishable by the naked eye; grains vary from almost spherical to angular, with a diameter range from 1/16 to 2 millimeters.",n15019030,sand,n15019030,1240,a loose material consisting of grains of rock or coral,same,1,NA
2118,mountain or hill,A small or big rise in the surface of the earth.,n09303008,hill,n09303008,1773,a local and well-defined elevation of the land,same,1,NA
618,precipice,"A very steep decline, typically found in the mountains or on shores.",n09398677,precipice,n09398677,36,a very steep cliff,same,1,NA
652,plain,"Level or rolling open land, usually at a low elevation.",n09393605,field,n08569998,1311,a piece of land cleared of trees and usually enclosed,different,0,NA
652,plain,"Level or rolling open land, usually at a low elevation.",n09393605,plain,a01791911,337,not elaborate or elaborated; simple,different,0,this concept will not be considered
652,plain,"Level or rolling open land, usually at a low elevation.",n09393605,champaign,NA,NA,NA,different,0,NA
921,valley,"Any low-lying land bordered by higher ground; especially an elongate, relatively large, gently sloping depression of the Earth's surface, commonly situated between two mountains or between ranges of hills or mountains, and often containing a stream with an outlet.",n09468604,vale,n09468604,12,a long depression in the surface of the land that usually contains a river,same,1,NA
921,valley,"Any low-lying land bordered by higher ground; especially an elongate, relatively large, gently sloping depression of the Earth's surface, commonly situated between two mountains or between ranges of hills or mountains, and often containing a stream with an outlet.",n09468604,valley,n09468604,771,a long depression in the surface of the land that usually contains a river,same,1,NA
622,island,"A land mass, especially one smaller than a continent, entirely surrounded by water.",n09316454,island,n09316454,1649,a land mass (smaller than a continent) that is surrounded by water,same,1,NA
166,mainland,A large and continuous mass of land representing most of a region or a country but excluding outlying islands.,n09346120,mainland,n09346120,167,the main land mass of a country or continent; as distinguished from an island or peninsula,same,1,NA
113,shore,"The margin or shore of a river, lake, or ocean.",n09433442,shore,n09433442,740,the land along the edge of a body of water,same,1,NA
1155,cave,"1) An underground hollow with access from the ground surface or from the sea, often found in limestone areas and on rocky coastlines.2) A natural cavity, chamber or recess which leads beneath the surface of the earth, generally in a horizontal or obliquely inclined direction. It may be in the form of a passage or a gallery, its shape depending in part on the joint pattern or structure of the rock and partly on the type of process involved in its excavation. Thus, caves worn by subterranean rivers may be different in character from, and of considerably greater extent than, a sea-cave eroded by marine waves.3) A natural underground open space, generally with a connection to the surface and large enough for a person to enter. The most common type of cave is formed in a limestone by dissolution. (Source: CED /  WHIT /  BJGEO)",n09238926,cave,n09238926,800,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,same,1,NA
948,water,"Common liquid (H₂O) which forms rain, rivers, the sea, etc., and which makes up a large part of the bodies of organisms.",n07935504,water,n14845743,8068,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,different,1,NA
1474,sea,A body of salt water that is smaller than an ocean and generally in proximity to a continent.,n09426788,sea,n09426788,2699,a division of an ocean or a large body of salt water partially enclosed by land,same,1,NA
259,rough (of sea),With large waves (of sea).,a00304949,fierce,s01511854,313,marked by extreme intensity of emotions or convictions; inclined to react violently; fervid,different,0,this concept will not be considered
259,rough (of sea),With large waves (of sea).,a00304949,boisterous,s02279360,38,full of rough and exuberant animal spirits,different,0,NA
259,rough (of sea),With large waves (of sea).,a00304949,rough,a02238462,452,having or caused by an irregular surface,different,0,NA
1768,foam,A mass of adjacent small pockets of air or bubbles with solid or liquid boundaries.,n09282724,froth,n09282724,46,a mass of small bubbles formed in or on a liquid,same,1,NA
1768,foam,A mass of adjacent small pockets of air or bubbles with solid or liquid boundaries.,n09282724,foam,n14872697,136,a lightweight material in cellular form; made by introducing gas bubbles during manufacture,different,1,NA
645,ocean,"The mass of water occupying all of the Earth's surface not occupied by land, but excluding all lakes and inland seas.",n09376198,ocean,n09376198,1201,a large body of water constituting a principal part of the hydrosphere,same,1,NA
624,lake,"An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.",n09328904,lake,n09328904,1125,a body of (usually fresh) water surrounded by land,same,1,NA
663,bay,"An open, curving indentation made by the sea or a lake into a coastline.",n09215664,embayment,n09215664,1,an indentation of a shoreline larger than a cove but smaller than a gulf,same,1,NA
663,bay,"An open, curving indentation made by the sea or a lake into a coastline.",n09215664,bay,n09215664,377,an indentation of a shoreline larger than a cove but smaller than a gulf,same,1,NA
623,lagoon,A body of water cut off from the open sea by coral reefs or sand bars.,n09328746,laguna,NA,NA,NA,different,0,NA
623,lagoon,A body of water cut off from the open sea by coral reefs or sand bars.,n09328746,lagune,NA,NA,NA,different,0,NA
623,lagoon,A body of water cut off from the open sea by coral reefs or sand bars.,n09328746,lagoon,n09328746,87,a body of water cut off from a larger body by a reef of sand or coral,same,1,NA
660,reef,"A line of rocks in the tidal zone of a coast, submerged at high water but partly uncovered at low water.",n09406793,reef,n09406793,126,a submerged ridge of rock or coral near the surface of the water,same,1,NA
1662,cape,A piece of land extending into water.,n09233715,cape,n02955767,163,a sleeveless garment like a cloak but shorter,different,0,NA
1662,cape,A piece of land extending into water.,n09233715,ness,n09233715,34,a strip of land projecting into a body of water,same,1,NA
978,wave,A disturbance in an fluid medium.,n07352190,wave,v01041415,1134,signal with the hands or nod,different,1,dominant POS was noun in Subtlex
