concepticon_id	name	description	final_synset	synonym	wordnet_id	count	definition	same_synset	taxonomic_depth
2	dust	Any kind of solid material divided in particles of very small size.	n14839846	dust	n14839846	1353.0	fine powdery material such as dry earth or pollen that can be blown about in the air	same	6.0
3	brave	Having or characterized by courage.	a00262792	brave	a00262792	489.0	possessing or displaying courage; able to face and deal with danger or fear without flinching; - Herman Melville; - William Wordsworth	same	0.0
3	brave	Having or characterized by courage.	a00262792	courageous	a00262792	87.0	possessing or displaying courage; able to face and deal with danger or fear without flinching; - Herman Melville; - William Wordsworth	same	0.0
6	earthquake	The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.	n07428954	earthquake	n07428954	280.0	shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity	same	6.0
6	earthquake	The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.	n07428954	quake	n07428954	96.0	shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity	same	6.0
6	earthquake	The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.	n07428954	seism				different	6.0
6	earthquake	The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.	n07428954	temblor	n07428954	13.0	shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity	same	6.0
7	gather	To collect or gather (e.g. work, magazines, etc.).	v01380638	collect	v01380638	441.0	assemble or get together	same	0.0
7	gather	To collect or gather (e.g. work, magazines, etc.).	v01380638	garner	v02290196	112.0	acquire or deserve by one's efforts or actions	different	0.0
7	gather	To collect or gather (e.g. work, magazines, etc.).	v01380638	gather	v01380638	1096.0	assemble or get together	same	0.0
8	curse	To imprecate evil or misfortune upon someone or something, usually by means of a prayer or implication.	v00865958	anathemise				different	2.0
8	curse	To imprecate evil or misfortune upon someone or something, usually by means of a prayer or implication.	v00865958	anathemize				different	2.0
8	curse	To imprecate evil or misfortune upon someone or something, usually by means of a prayer or implication.	v00865958	bedamn				different	2.0
8	curse	To imprecate evil or misfortune upon someone or something, usually by means of a prayer or implication.	v00865958	beshrew				different	2.0
8	curse	To imprecate evil or misfortune upon someone or something, usually by means of a prayer or implication.	v00865958	curse	n07160424	221.0	an evil spell	different	2.0
8	curse	To imprecate evil or misfortune upon someone or something, usually by means of a prayer or implication.	v00865958	damn	s00670530	626.0	used as expletives	different	2.0
8	curse	To imprecate evil or misfortune upon someone or something, usually by means of a prayer or implication.	v00865958	imprecate				different	2.0
8	curse	To imprecate evil or misfortune upon someone or something, usually by means of a prayer or implication.	v00865958	maledict				different	2.0
9	announce	To make known by stating or announcing.	v00974367	announce	v00974367	1712.0	make known; make an announcement	same	4.0
9	announce	To make known by stating or announcing.	v00974367	denote	v00931467	51.0	have as a meaning	different	4.0
10	firewood	Wood intended to be burned.	n15100644	firewood	n15100644	75.0	wood used for fuel	same	5.0
11	darkness	Absence of light.	n13983515	dark	a00409440	2498.0	(used of color) having a dark hue	different	5.0
11	darkness	Absence of light.	n13983515	darkness	n13983515	1356.0	absence of light or illumination	same	5.0
12	midday	Time of day when the sun is in its zenith.	n15165490	midday	n15165490	127.0	the middle of the day	same	9.0
12	midday	Time of day when the sun is in its zenith.	n15165490	noon	n15165490	457.0	the middle of the day	same	9.0
12	midday	Time of day when the sun is in its zenith.	n15165490	noonday	n15165490	14.0	the middle of the day	same	9.0
12	midday	Time of day when the sun is in its zenith.	n15165490	noontide				different	9.0
13	deceit	The act or practice of deceiving.	n00752431	deceit	n00752431	30.0	the act of deceiving	same	8.0
13	deceit	The act or practice of deceiving.	n00752431	deception	n00752431	118.0	the act of deceiving	same	8.0
13	deceit	The act or practice of deceiving.	n00752431	dissembling	n00752431	5.0	the act of deceiving	same	8.0
13	deceit	The act or practice of deceiving.	n00752431	dissimulation	n00752431	2.0	the act of deceiving	same	8.0
14	yoke	A device for joining together a pair of draft animals.	n04613350	yoke	n13996909	16.0	an oppressive power	different	8.0
17	eyelid	A skin flap that can be closed over an eye.	n05313822	eyelid	n05313822	212.0	either of two folds of skin that can be moved to cover or open the eye	same	9.0
17	eyelid	A skin flap that can be closed over an eye.	n05313822	lid	n03661340	428.0	a movable top or cover (hinged or separate) for closing the opening at the top of a box, chest, jar, pan, etc.	different	9.0
17	eyelid	A skin flap that can be closed over an eye.	n05313822	palpebra				different	9.0
18	earlobe	The lower fleshy part of the human ear.	n05323588	earlobe	n05323588	63.0	the fleshy pendulous part of the external human ear	same	6.0
21	taste (something)	To try the flavor of something.	v02194286	savor	v01820302	171.0	derive or receive pleasure from; get enjoyment from; take pleasure in	different	0.0
21	taste (something)	To try the flavor of something.	v02194286	savour				different	0.0
21	taste (something)	To try the flavor of something.	v02194286	taste	n05715283	488.0	the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus	different	0.0
23	rye	Biennial plant from the genus Secale of the family Poaceae, used as a cereal or for forage.	n12134025	rye	n12157179	38.0	the seed of the cereal grass	different	12.0
24	pray	To address God or a higher being with praise, thanksgiving, confession or supplication.	v00759944	pray	v00759944	1048.0	address a deity, a prophet, a saint or an object of worship; say a prayer	same	4.0
27	air	A predominantly mechanical mixture of a variety of individual gases forming the earth's enveloping atmosphere.	n14841267	air	n14841267	3700.0	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of	same	5.0
31	pan	Cooking utensil relatively flat, having a handle, used to cook food such as meat, vegetables or eggs, usually in oil or butter.	n03880531	pan	n03880531	876.0	cooking utensil consisting of a wide metal vessel	same	10.0
32	earwax	A yellowish, waxlike secretion from certain glands in the external auditory canal.	n15095103	cerumen				different	8.0
32	earwax	A yellowish, waxlike secretion from certain glands in the external auditory canal.	n15095103	earwax	n15095103	2.0	a soft yellow wax secreted by glands in the ear canal	same	8.0
33	nettle	Any of numerous plants having stinging hairs that cause skin irritation on contact (especially of the genus Urtica or family Urticaceae). [B:33]	n12392070	nettle	v01787955	11.0	cause annoyance in; disturb, especially by minor irritations	different	9.0
40	envy	A feeling of discontent or covetousness with regard to another's advantages, success, possessions, etc.	n07550079	jealousy	n07550079	115.0	a feeling of jealous envy (especially of a rival)	same	10.0
42	stinking	Having a bad smell.	a01053634	fetid	s01053634	33.0	offensively malodorous	different	0.0
