glottocode,area,langfamily
mand1415,Eurasia,Sino-Tibetan
kore1280,Eurasia,Koreanic
indo1316,Papunesia,Austronesian
stan1306,Eurasia,Austronesian
stan1293,Africa;Eurasia;South America,Indo-European
stan1295,Eurasia,Indo-European
dani1285,Eurasia,Indo-European
norw1258,Eurasia,Indo-European
finn1318,Eurasia,Uralic
lith1251,Eurasia,Indo-European
poli1260,Eurasia,Indo-European
russ1263,Eurasia,Indo-European
ukra1253,Eurasia,Indo-European
mace1250,Eurasia,Indo-European
mode1248,Eurasia,Indo-European
roma1327,Eurasia,Indo-European
ital1282,Eurasia,Indo-European
stan1290,Eurasia,Indo-European
stan1289,Eurasia,Indo-European
stan1288,Eurasia,Indo-European
port1283,Eurasia,Indo-European
dutc1256,Eurasia,Indo-European
swed1254,Eurasia,Indo-European
