concepticon_id,glottocode,lex,concepticon_gloss,semantic_field,language,area,family
965,swah1253,1,world,The physical world,Swahili,Africa,Atlantic-Congo
965,iraq1241,1,world,The physical world,Iraqw,Africa,Afro-Asiatic
965,gaww1239,1,world,The physical world,Ale-Gawwada,Africa,Afro-Asiatic
965,haus1257,1,world,The physical world,Hausa,Africa,Afro-Asiatic
965,cent2050,1,world,The physical world,Central Kanuri,Africa,Saharan
965,tari1263,1,world,The physical world,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Africa,Afro-Asiatic
965,sese1246,1,world,The physical world,Seselwa Creole French,Africa,Indo-European
965,roma1327,1,world,The physical world,Romanian,Eurasia,Indo-European
965,west2376,1,world,The physical world,West Slovakian Romani,Eurasia,Indo-European
965,lowe1385,1,world,The physical world,Lower Sorbian,Eurasia,Indo-European
965,oldh1241,1,world,The physical world,Old High German (ca. 750-1050),Eurasia,Indo-European
965,dutc1256,1,world,The physical world,Dutch,Eurasia,Indo-European
965,stan1293,1,world,The physical world,English,Eurasia,Indo-European
965,kild1236,1,world,The physical world,Kildin Saami,Eurasia,Uralic
965,bezh1248,1,world,The physical world,Bezhta,Eurasia,Nakh-Daghestanian
965,arch1244,1,world,The physical world,Archi,Eurasia,Nakh-Daghestanian
965,mana1288,1,world,The physical world,Manange,Eurasia,Sino-Tibetan
965,yaku1245,1,world,The physical world,Sakha,Eurasia,Turkic
965,oroq1238,1,world,The physical world,Oroqen,Eurasia,Tungusic
965,nucl1643,1,world,The physical world,Japanese,Eurasia,Japonic
965,mand1415,1,world,The physical world,Mandarin Chinese,Eurasia,Sino-Tibetan
965,thai1261,1,world,The physical world,Thai,Eurasia,Tai-Kadai
965,viet1252,1,world,The physical world,Vietnamese,Eurasia,Austroasiatic
965,hmon1333,1,world,The physical world,Hmong Daw,Eurasia,Hmong-Mien
965,indo1316,1,world,The physical world,Standard Indonesian,Papunesia,Austronesian
965,plat1254,1,world,The physical world,Plateau Malagasy,Africa,Austronesian
965,taki1248,1,world,The physical world,Takia,Papunesia,Austronesian
965,hawa1245,1,world,The physical world,Hawaiian,Papunesia,Austronesian
965,yaqu1251,1,world,The physical world,Yaqui,North America,Uto-Aztecan
965,tzot1259,1,world,The physical world,Tzotzil,North America,Mayan
965,kekc1242,1,world,The physical world,Q'eqchi',North America,Mayan
965,mezq1235,1,world,The physical world,Mezquital Otomi,North America,Otomanguean
965,sara1340,1,world,The physical world,Saramaccan,South America,Indo-European
965,imba1240,1,world,The physical world,Imbabura Highland Quichua,South America,Quechuan
965,gali1262,1,world,The physical world,Galibi Carib,South America,Cariban
965,hupd1244,1,world,The physical world,Hup,South America,Naduhup
965,wich1264,1,world,The physical world,Güisnay,South America,Mataguayan
965,mapu1245,1,world,The physical world,Mapudungun,South America,Araucanian
965,guri1247,0,world,The physical world,Gurindji,Australia,Pama-Nyungan
626,swah1253,1,land,The physical world,Swahili,Africa,Atlantic-Congo
626,iraq1241,1,land,The physical world,Iraqw,Africa,Afro-Asiatic
626,gaww1239,1,land,The physical world,Ale-Gawwada,Africa,Afro-Asiatic
626,haus1257,1,land,The physical world,Hausa,Africa,Afro-Asiatic
626,cent2050,1,land,The physical world,Central Kanuri,Africa,Saharan
626,tari1263,1,land,The physical world,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Africa,Afro-Asiatic
626,sese1246,1,land,The physical world,Seselwa Creole French,Africa,Indo-European
626,roma1327,1,land,The physical world,Romanian,Eurasia,Indo-European
626,west2376,1,land,The physical world,West Slovakian Romani,Eurasia,Indo-European
626,lowe1385,1,land,The physical world,Lower Sorbian,Eurasia,Indo-European
626,oldh1241,1,land,The physical world,Old High German (ca. 750-1050),Eurasia,Indo-European
626,dutc1256,1,land,The physical world,Dutch,Eurasia,Indo-European
626,stan1293,1,land,The physical world,English,Eurasia,Indo-European
626,kild1236,1,land,The physical world,Kildin Saami,Eurasia,Uralic
626,bezh1248,1,land,The physical world,Bezhta,Eurasia,Nakh-Daghestanian
626,arch1244,1,land,The physical world,Archi,Eurasia,Nakh-Daghestanian
626,mana1288,1,land,The physical world,Manange,Eurasia,Sino-Tibetan
626,yaku1245,1,land,The physical world,Sakha,Eurasia,Turkic
626,oroq1238,1,land,The physical world,Oroqen,Eurasia,Tungusic
626,nucl1643,1,land,The physical world,Japanese,Eurasia,Japonic
626,mand1415,1,land,The physical world,Mandarin Chinese,Eurasia,Sino-Tibetan
626,thai1261,1,land,The physical world,Thai,Eurasia,Tai-Kadai
626,viet1252,1,land,The physical world,Vietnamese,Eurasia,Austroasiatic
626,hmon1333,1,land,The physical world,Hmong Daw,Eurasia,Hmong-Mien
626,indo1316,1,land,The physical world,Standard Indonesian,Papunesia,Austronesian
626,plat1254,1,land,The physical world,Plateau Malagasy,Africa,Austronesian
626,taki1248,1,land,The physical world,Takia,Papunesia,Austronesian
626,hawa1245,1,land,The physical world,Hawaiian,Papunesia,Austronesian
626,yaqu1251,1,land,The physical world,Yaqui,North America,Uto-Aztecan
626,tzot1259,1,land,The physical world,Tzotzil,North America,Mayan
626,kekc1242,1,land,The physical world,Q'eqchi',North America,Mayan
626,mezq1235,1,land,The physical world,Mezquital Otomi,North America,Otomanguean
626,sara1340,1,land,The physical world,Saramaccan,South America,Indo-European
626,imba1240,1,land,The physical world,Imbabura Highland Quichua,South America,Quechuan
626,gali1262,1,land,The physical world,Galibi Carib,South America,Cariban
626,hupd1244,1,land,The physical world,Hup,South America,Naduhup
626,wich1264,1,land,The physical world,Güisnay,South America,Mataguayan
626,mapu1245,1,land,The physical world,Mapudungun,South America,Araucanian
626,kett1243,1,land,The physical world,Ket,Eurasia,Yeniseian
626,chew1245,1,land,The physical world,Chewong,Eurasia,Austroasiatic
626,guri1247,1,land,The physical world,Gurindji,Australia,Pama-Nyungan
1228,swah1253,1,earth,The physical world,Swahili,Africa,Atlantic-Congo
1228,iraq1241,1,earth,The physical world,Iraqw,Africa,Afro-Asiatic
1228,gaww1239,1,earth,The physical world,Ale-Gawwada,Africa,Afro-Asiatic
1228,haus1257,1,earth,The physical world,Hausa,Africa,Afro-Asiatic
1228,cent2050,1,earth,The physical world,Central Kanuri,Africa,Saharan
1228,tari1263,1,earth,The physical world,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Africa,Afro-Asiatic
1228,sese1246,1,earth,The physical world,Seselwa Creole French,Africa,Indo-European
1228,roma1327,1,earth,The physical world,Romanian,Eurasia,Indo-European
1228,west2376,1,earth,The physical world,West Slovakian Romani,Eurasia,Indo-European
1228,lowe1385,1,earth,The physical world,Lower Sorbian,Eurasia,Indo-European
