concepticon_id,name,description,pwn_synset,wordnet_gloss,wordnet_definition
965,world,The Earth with all its inhabitants and all things upon it.,NA,NA,NA
626,land,"A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization. (Source: WHIT)",n09334396,land//dry land//earth//ground//solid ground//terra firma,"the solid part of the earth's surface; ""the plane turned away from the sea and moved back over land""; ""the earth shook for several minutes""; ""he dropped the logs on the ground"""
1228,earth (soil),The soft and loose material forming a great part of the Earth surface.,n09335240,land//ground//soil,"material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use); ""the land had never been plowed""; ""good agricultural soil"""
2,dust,Any kind of solid material divided in particles of very small size.,n14839846,dust,"fine powdery material such as dry earth or pollen that can be blown about in the air; ""the furniture was covered with dust"""
640,mud,"A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments. (Source: WHIT)",n14956325,mud//clay,water soaked soil; soft wet earth
671,sand,"A loose material consisting of small mineral particles, or rock and mineral particles, distinguishable by the naked eye; grains vary from almost spherical to angular, with a diameter range from 1/16 to 2 millimeters.",n15019030,sand,a loose material consisting of grains of rock or coral
2118,mountain or hill,A small or big rise in the surface of the earth.,n09303008,hill,"a local and well-defined elevation of the land; ""they loved to roam the hills of West Virginia"""
618,precipice,"A very steep decline, typically found in the mountains or on shores.",n09398677,precipice,a very steep cliff
652,plain,"Level or rolling open land, usually at a low elevation.",n09393605,plain//field//champaign,"extensive tract of level open land; ""they emerged from the woods onto a vast open plain""; ""he longed for the fields of his youth"""
921,valley,"Any low-lying land bordered by higher ground; especially an elongate, relatively large, gently sloping depression of the Earth's surface, commonly situated between two mountains or between ranges of hills or mountains, and often containing a stream with an outlet.",n09468604,valley//vale,a long depression in the surface of the land that usually contains a river
622,island,"A land mass, especially one smaller than a continent, entirely surrounded by water.",n09316454,island,a land mass (smaller than a continent) that is surrounded by water
166,mainland,A large and continuous mass of land representing most of a region or a country but excluding outlying islands.,n09346120,mainland,the main land mass of a country or continent; as distinguished from an island or peninsula
113,shore,"The margin or shore of a river, lake, or ocean.",n09433442,shore,the land along the edge of a body of water
