icode,twittersize,blogsize,size
ca,6452013,8237187,14689200
da,14895952,29510097,44406049
de,24257036,23441843,47698879
el,18803348,19801313,38604661
en,30978193,38131809,69110002
es,44128801,46842247,90971048
fi,3155889,12763595,15919484
fr,27683431,32965511,60648942
id,39009808,37914890,76924698
it,23855202,26232939,50088141
ko,18667851,17601813,36269664
lt,1340506,3957428,5297934
mk,2532567,6427189,8959756
ms,6140659,8854215,14994874
nl,21796230,25623135,47419365
no,12535076,16941263,29476339
pl,22544292,26465394,49009686
pt,41866293,35682546,77548839
ro,12689927,30797170,43487097
ru,23062163,20290027,43352190
sv,23226573,26917305,50143878
uk,6679332,10751354,17430686
zh,38448436,32809426,71257862
