semantic_field,concepticon_id1,concepticon_gloss1,concepticon_id2,concepticon_gloss2,evidence
Agriculture and vegetation,1077,wheat,23,rye,42
Agriculture and vegetation,1204,bark,410,yam,122
Agriculture and vegetation,1418,dig,23,rye,96
Agriculture and vegetation,1541,cultivate,968,acorn,98
Agriculture and vegetation,1689,smoke,346,banyan,75
Agriculture and vegetation,1690,fence,346,banyan,81
Agriculture and vegetation,190,mow,1950,beech,67
Agriculture and vegetation,190,mow,223,threshing-floor,48
Agriculture and vegetation,190,mow,23,rye,78
Agriculture and vegetation,190,mow,346,banyan,72
Agriculture and vegetation,1921,plough,23,rye,63
Agriculture and vegetation,212,field,1950,beech,80
Agriculture and vegetation,2132,sickle or scythe,1950,beech,49
Agriculture and vegetation,239,flower,1124,pipe,43
Agriculture and vegetation,239,flower,1740,pine,64
Agriculture and vegetation,239,flower,1855,birch,105
Agriculture and vegetation,239,flower,1915,fir,87
Agriculture and vegetation,239,flower,1950,beech,87
Agriculture and vegetation,239,flower,346,banyan,92
Agriculture and vegetation,239,flower,644,oak,97
Agriculture and vegetation,239,flower,925,cassava,135
Agriculture and vegetation,239,flower,968,acorn,108
Agriculture and vegetation,239,flower,970,coconut,71
Agriculture and vegetation,284,hoe,346,banyan,62
Agriculture and vegetation,285,thresh,1950,beech,58
Agriculture and vegetation,3223,branch or twig,1124,pipe,43
Agriculture and vegetation,3223,branch or twig,1689,smoke,17
Agriculture and vegetation,3223,branch or twig,1740,pine,64
Agriculture and vegetation,3223,branch or twig,1855,birch,105
Agriculture and vegetation,3223,branch or twig,1915,fir,87
Agriculture and vegetation,3223,branch or twig,1927,bamboo,29
Agriculture and vegetation,3223,branch or twig,1950,beech,87
Agriculture and vegetation,3223,branch or twig,33,nettle,52
Agriculture and vegetation,3223,branch or twig,345,sap,25
Agriculture and vegetation,3223,branch or twig,346,banyan,92
Agriculture and vegetation,3223,branch or twig,410,yam,129
Agriculture and vegetation,3223,branch or twig,411,gourd,21
Agriculture and vegetation,3223,branch or twig,641,mushroom,14
Agriculture and vegetation,3223,branch or twig,644,oak,97
Agriculture and vegetation,3223,branch or twig,864,pumpkin,20
Agriculture and vegetation,3223,branch or twig,925,cassava,135
Agriculture and vegetation,3223,branch or twig,968,acorn,108
Agriculture and vegetation,3223,branch or twig,970,coconut,71
Agriculture and vegetation,3223,branch or twig,974,tobacco,16
Agriculture and vegetation,342,hay,1855,birch,62
Agriculture and vegetation,586,garden,1950,beech,68
Agriculture and vegetation,586,garden,346,banyan,73
Agriculture and vegetation,606,grass,1740,pine,64
Agriculture and vegetation,606,grass,1855,birch,105
Agriculture and vegetation,606,grass,1915,fir,87
Agriculture and vegetation,606,grass,1950,beech,87
Agriculture and vegetation,606,grass,342,hay,43
Agriculture and vegetation,606,grass,346,banyan,92
Agriculture and vegetation,606,grass,410,yam,129
Agriculture and vegetation,606,grass,644,oak,97
Agriculture and vegetation,606,grass,968,acorn,108
Agriculture and vegetation,606,grass,970,coconut,71
Agriculture and vegetation,628,leaf,1855,birch,105
Agriculture and vegetation,628,leaf,1950,beech,87
Agriculture and vegetation,628,leaf,346,banyan,92
Agriculture and vegetation,628,leaf,410,yam,129
Agriculture and vegetation,628,leaf,644,oak,97
Agriculture and vegetation,628,leaf,925,cassava,135
Agriculture and vegetation,628,leaf,968,acorn,108
Agriculture and vegetation,628,leaf,970,coconut,71
