semantic_field,concepticon_id1,concepticon_gloss1,concepticon_id2,concepticon_gloss2,evidence
Agriculture and vegetation,1077,wheat,1950,beech,20
Agriculture and vegetation,1077,wheat,346,banyan,18
Agriculture and vegetation,1077,wheat,60,oat,10
Agriculture and vegetation,1077,wheat,644,oak,11
Agriculture and vegetation,1077,wheat,932,barley,5
Agriculture and vegetation,1077,wheat,968,acorn,15
Agriculture and vegetation,1124,pipe,140,paddy field,18
Agriculture and vegetation,1124,pipe,346,banyan,20
Agriculture and vegetation,1176,spade,116,larch,19
Agriculture and vegetation,1176,spade,1855,birch,14
Agriculture and vegetation,1176,spade,1915,fir,12
Agriculture and vegetation,1176,spade,1950,beech,19
Agriculture and vegetation,1176,spade,23,rye,13
Agriculture and vegetation,1176,spade,346,banyan,17
Agriculture and vegetation,1176,spade,968,acorn,16
Agriculture and vegetation,1204,bark,116,larch,24
Agriculture and vegetation,1204,bark,140,paddy field,22
Agriculture and vegetation,1204,bark,1927,bamboo,7
Agriculture and vegetation,1204,bark,286,needle tree,13
Agriculture and vegetation,1204,bark,287,cone,14
Agriculture and vegetation,1204,bark,33,nettle,10
Agriculture and vegetation,1204,bark,340,lasso,17
Agriculture and vegetation,1204,bark,345,sap,1
Agriculture and vegetation,1204,bark,346,banyan,23
Agriculture and vegetation,1204,bark,410,yam,18
Agriculture and vegetation,1204,bark,411,gourd,8
Agriculture and vegetation,1204,bark,864,pumpkin,3
Agriculture and vegetation,1204,bark,868,banana,5
Agriculture and vegetation,1204,bark,925,cassava,13
Agriculture and vegetation,1204,bark,931,millet,11
Agriculture and vegetation,1204,bark,970,coconut,10
Agriculture and vegetation,1418,dig,1077,wheat,6
Agriculture and vegetation,1418,dig,1124,pipe,4
Agriculture and vegetation,1418,dig,116,larch,24
Agriculture and vegetation,1418,dig,1176,spade,4
Agriculture and vegetation,1418,dig,140,paddy field,22
Agriculture and vegetation,1418,dig,1486,plant,1
Agriculture and vegetation,1418,dig,1689,smoke,1
Agriculture and vegetation,1418,dig,1740,pine,10
Agriculture and vegetation,1418,dig,1855,birch,20
Agriculture and vegetation,1418,dig,190,mow,3
Agriculture and vegetation,1418,dig,1901,shovel,3
Agriculture and vegetation,1418,dig,1915,fir,18
Agriculture and vegetation,1418,dig,1927,bamboo,7
Agriculture and vegetation,1418,dig,1950,beech,25
Agriculture and vegetation,1418,dig,2132,sickle or scythe,6
Agriculture and vegetation,1418,dig,223,threshing-floor,11
Agriculture and vegetation,1418,dig,23,rye,18
Agriculture and vegetation,1418,dig,284,hoe,3
Agriculture and vegetation,1418,dig,285,thresh,6
Agriculture and vegetation,1418,dig,286,needle tree,12
Agriculture and vegetation,1418,dig,287,cone,13
Agriculture and vegetation,1418,dig,33,nettle,9
Agriculture and vegetation,1418,dig,337,pitchfork,9
Agriculture and vegetation,1418,dig,338,rake,4
Agriculture and vegetation,1418,dig,340,lasso,17
Agriculture and vegetation,1418,dig,342,hay,5
Agriculture and vegetation,1418,dig,343,vine,5
Agriculture and vegetation,1418,dig,345,sap,1
Agriculture and vegetation,1418,dig,346,banyan,23
Agriculture and vegetation,1418,dig,3541,harvest or harvest season,7
Agriculture and vegetation,1418,dig,410,yam,18
Agriculture and vegetation,1418,dig,411,gourd,9
Agriculture and vegetation,1418,dig,506,maize,3
Agriculture and vegetation,1418,dig,60,oat,15
Agriculture and vegetation,1418,dig,605,grain,8
Agriculture and vegetation,1418,dig,606,grass,1
Agriculture and vegetation,1418,dig,644,oak,15
Agriculture and vegetation,1418,dig,653,plant,6
Agriculture and vegetation,1418,dig,748,sow seeds,2
Agriculture and vegetation,1418,dig,864,pumpkin,3
Agriculture and vegetation,1418,dig,868,banana,5
Agriculture and vegetation,1418,dig,925,cassava,13
Agriculture and vegetation,1418,dig,926,rice,2
Agriculture and vegetation,1418,dig,931,millet,11
Agriculture and vegetation,1418,dig,932,barley,11
Agriculture and vegetation,1418,dig,968,acorn,19
Agriculture and vegetation,1418,dig,970,coconut,9
Agriculture and vegetation,1418,dig,974,tobacco,1
Agriculture and vegetation,1486,plant,140,paddy field,21
Agriculture and vegetation,1486,plant,1927,bamboo,6
Agriculture and vegetation,1486,plant,1950,beech,24
Agriculture and vegetation,1486,plant,343,vine,5
Agriculture and vegetation,1486,plant,346,banyan,22
Agriculture and vegetation,1486,plant,410,yam,18
Agriculture and vegetation,1486,plant,411,gourd,7
Agriculture and vegetation,1486,plant,644,oak,15
Agriculture and vegetation,1486,plant,864,pumpkin,1
Agriculture and vegetation,1486,plant,868,banana,4
Agriculture and vegetation,1486,plant,925,cassava,12
Agriculture and vegetation,1486,plant,931,millet,10
Agriculture and vegetation,1486,plant,968,acorn,18
Agriculture and vegetation,1486,plant,970,coconut,8
Agriculture and vegetation,1541,cultivate,223,threshing-floor,5
Agriculture and vegetation,1541,cultivate,346,banyan,16
Agriculture and vegetation,1541,cultivate,931,millet,5
Agriculture and vegetation,1689,smoke,1124,pipe,3
Agriculture and vegetation,1689,smoke,140,paddy field,22
Agriculture and vegetation,1689,smoke,1927,bamboo,6
Agriculture and vegetation,1689,smoke,340,lasso,17
Agriculture and vegetation,1689,smoke,346,banyan,23
Agriculture and vegetation,1689,smoke,410,yam,18
Agriculture and vegetation,1689,smoke,411,gourd,8
Agriculture and vegetation,1689,smoke,868,banana,4
Agriculture and vegetation,1689,smoke,925,cassava,13
Agriculture and vegetation,1689,smoke,970,coconut,9
Agriculture and vegetation,1690,fence,1077,wheat,5
Agriculture and vegetation,1690,fence,116,larch,24
Agriculture and vegetation,1690,fence,1176,spade,3
Agriculture and vegetation,1690,fence,1740,pine,10
Agriculture and vegetation,1690,fence,1794,furrow,9
Agriculture and vegetation,1690,fence,1855,birch,20
Agriculture and vegetation,1690,fence,190,mow,2
Agriculture and vegetation,1690,fence,1915,fir,18
Agriculture and vegetation,1690,fence,1921,plough,7
Agriculture and vegetation,1690,fence,1950,beech,25
Agriculture and vegetation,1690,fence,2002,ditch,1
Agriculture and vegetation,1690,fence,2132,sickle or scythe,5
Agriculture and vegetation,1690,fence,223,threshing-floor,11
Agriculture and vegetation,1690,fence,23,rye,18
Agriculture and vegetation,1690,fence,285,thresh,5
Agriculture and vegetation,1690,fence,287,cone,13
Agriculture and vegetation,1690,fence,33,nettle,10
Agriculture and vegetation,1690,fence,337,pitchfork,8
Agriculture and vegetation,1690,fence,340,lasso,17
Agriculture and vegetation,1690,fence,342,hay,4
Agriculture and vegetation,1690,fence,343,vine,5
Agriculture and vegetation,1690,fence,346,banyan,23
Agriculture and vegetation,1690,fence,3541,harvest or harvest season,6
Agriculture and vegetation,1690,fence,60,oat,15
Agriculture and vegetation,1690,fence,644,oak,15
Agriculture and vegetation,1690,fence,653,plant,5
Agriculture and vegetation,1690,fence,931,millet,10
Agriculture and vegetation,1690,fence,932,barley,10
Agriculture and vegetation,1690,fence,968,acorn,20
Agriculture and vegetation,1740,pine,116,larch,13
Agriculture and vegetation,1740,pine,1915,fir,8
Agriculture and vegetation,1855,birch,116,larch,5
Agriculture and vegetation,190,mow,116,larch,21
Agriculture and vegetation,190,mow,1740,pine,7
Agriculture and vegetation,190,mow,1855,birch,17
Agriculture and vegetation,190,mow,1915,fir,15
Agriculture and vegetation,190,mow,1950,beech,21
Agriculture and vegetation,190,mow,23,rye,15
Agriculture and vegetation,190,mow,287,cone,10
Agriculture and vegetation,190,mow,33,nettle,7
