ID,Name,Description,Contributor,Citation,Source,Related,PDF,Tags,Year,Number_Of_Items,Gloss_Language_IDs,Target_Language,List_Suffix,Source_URL,Pages,Alias,Attributes
Lai-2023-291,"Lai, Yunfan and List, Johann-Mattis 2023","This list builds on the [list of 250 items](conceptlists.csv#cldf:Sagart-2019-250) by Sagart et al. that was used to study the evolution of Sino-Tibetan languages. The list is used to assemble data for Rgyalrongic languages, one important branch of Sino-Tibetan.","Lai, Yunfan and List, Johann-Mattis",n.d.,Lai2023,Sagart-2019-250,,basic,2023,291,english,Rgyalrongic languages,,,,,huang_1992_1820 lexibank_gloss
Huisman-2019-110,"Huisman, John L. A. and Majid, Asifa and van Hout, Roeland 2019",This concept list is part of a study on  the influence of geographical configuration on language change using Japan as an example.,"Huisman, John L. A. and Majid, Asifa and van Hout, Roeland",n.d.,Huisman2019,,Huisman2019,basic,2019,110,japanese,English,,,1-18,,romanisation swadesh
Sidwell-2021-116,"Sidwell, Paul and Alves, Mark 2021",This concept list is taken from a dataset on Vietic languages. The authors have also indicated whether the concepts recur in [Swadesh's list of 100](conceptlists.csv#cldf:Swadesh-1955-100) and the [Leipzig-Jakarta list](conceptlists.csv#cldf:Tadmor-2009-100).,"Sidwell, Paul and Alves, Mark",n.d.,Sidwell2021b,Swadesh-1955-100 Tadmor-2009-100,,basic,2021,116,english,Vietic,,,,,leipzig_jakarta semantic_field swadesh_1955_100
Sidwell-2021-100,"Sidwell, Paul 2021",This concept list is taken from a dataset on Nicobarese languages. The author has also indicated whether the concepts recur in [Swadesh's list of 100](conceptlists.csv#cldf:Swadesh-1955-100) and [200 items](conceptlists.csv#cldf:Swadesh-1952-200).,"Sidwell, Paul",n.d.,Sidwell2021,Swadesh-1955-100 Swadesh-1952-200,,basic,2021,100,english,Nicobarese,,,,,swadesh_1952_200 swadesh_1955_100
Bastin-1999-92,"Bastin, Yonne and Coupez, André and Mann, Michael 1999",This concept list was used in a long term study devoted to the investigation of Bantu languages carried out in the 1970s and 1980s. The questionnaire used by the authors was inspired by [Swadesh's list of 100 items](conceptlists.csv#cldf:Swadesh-1955-100).,"Bastin, Yonne and Coupez, André and Mann, Michael",n.d.,Bastin1999,Swadesh-1955-100,Bastin1999,basic,1999,92,french,English,,,4,,
Zanchi-2022-170,"Zanchi, Chiara and Luraghi, Silvia and Rombei, Claudia Roberta 2022",This concept list of 170 verb meanings is part of an effort to build a typological database on verbs in different languages.,"Zanchi, Chiara and Luraghi, Silvia and Rombei, Claudia Roberta",n.d. In.,Zanchi2022,,,basic,2022,170,english,English,,https://sigtyp.github.io/workshops/2022/sigtyp/papers/SIGTYP2022_proceedings.pdf#page=111,99-102,,link microroles role_frame
Zhao-2006-201,"Zhào, Yànzhēn 趙燕珍 2006","This is a concept list prepared to illustrate basic lexemes in Zhaozhuang Bai, a Southern Bai variety spoken in the South of Dali in Yunnan (China). The author intended to use Swadesh's [list of 200 items](conceptlists.csv#cldf:Swadesh-1952-200), but there are a few derivations. Interestingly, some concepts are also identical (like the Chinese items for SKY and DAY (NOT NIGHT)), due to ambiguities in the glossing language. Furthermore, as in many Chinese lists, we observe a wrong translation from DULL, being rendered as STUPID rather than DULL of a knife.","Zhào, Yànzhēn 趙燕珍",n.d. Zhōngyāng Mínzú Dàxué 中央民族大学 dissertation.,Zhao2006,Swadesh-1952-200,,basic,2006,201,chinese,Zhaozhuang Bai,,,,,form page
Savelyev-2020-254,"Savelyev, Alexander and Robbeets, Martine 2020","This concept list, which is supposed to extend the classical [Swadesh list of 200 items](conceptlists.csv#cldf:Swadesh-1952-200) by the [Leipzig-Jakarta list](conceptlists.csv#cldf:Tadmor-2009-100), was used for a phylogenetic study on Turkic languages.","Savelyev, Alexander and Robbeets, Martine",n.d.,Savelyev2020,Swadesh-1952-200 Tadmor-2009-100,,basic,2020,254,english,Turkic languages,,https://zenodo.org/record/3555174/files/turkic_alignment.tsv?download=1,,,
Oskolskaya-2021-254,"Oskolskaya, Sofia and Koile, Ezequiel and Robbeets, Martine 2021","This concept list, which is supposed to extend the classical [Swadesh list of 200 items](conceptlists.csv#cldf:Swadesh-1952-200) by the [Leipzig-Jakarta list](conceptlists.csv#cldf:Tadmor-2009-100), was used for a phylogenetic study on Tungusic languages. It is identical to [Saveleyev and Robbeets (2020)](conceptlists.csv#cldf:Savelyev-2020-254) except for concept numbering.","Oskolskaya, Sofia and Koile, Ezequiel and Robbeets, Martine",n.d.,Oskolskaya2021,Swadesh-1952-200 Tadmor-2009-100 Savelyev-2020-254,,basic,2021,254,english,Tungusic languages,,https://benjamins.com/catalog/dia.20010.osk/additional,,,
Carling-2019-99,"Carling, Gerd and Cronhamn, Sandra and Farren, Robert and Aliyev, Elnur and Frid, Johan 2019","This is a ranked list of concepts that are supposed to be rather prone to borrowing. The ranking stem from an analysis of borrowing frequencies, assessed by means of a manual tagging of those words that were found to be borrowings in the database. The data are ranked from the highest to the lowest degree of borrowability.","Carling, Gerd and Cronhamn, Sandra and Farren, Robert and Aliyev, Elnur and Frid, Johan",n.d.,Carling2019,,,lolo; ranked,2019,99,english,Global,,https://doi.org/10.1371/journal.pone.0223588.s005,,,classification loan no_loan rank
