ID,Language_ID,Parameter_ID,Form,Source,Concept_ID
Lai-2023-291-1-1,english,2,the dust,,Lai-2023-291-1
Lai-2023-291-2-1,english,10,firewood,,Lai-2023-291-2
Lai-2023-291-3-1,english,12,noon,,Lai-2023-291-3
Lai-2023-291-4-1,english,15,the otter,,Lai-2023-291-4
Lai-2023-291-5-1,english,78,that,,Lai-2023-291-5
Lai-2023-291-6-1,english,98,all,,Lai-2023-291-6
Lai-2023-291-7-1,english,136,here,,Lai-2023-291-7
Lai-2023-291-8-1,english,141,to burn [transitive],,Lai-2023-291-8
Lai-2023-291-9-1,english,152,the hoof,,Lai-2023-291-9
Lai-2023-291-10-1,english,156,red,,Lai-2023-291-10
Lai-2023-291-11-1,english,163,black,,Lai-2023-291-11
Lai-2023-291-12-1,english,175,to blow (of wind),,Lai-2023-291-12
Lai-2023-291-13-1,english,2678,the body hair (hair or fur),,Lai-2023-291-13
Lai-2023-291-14-1,english,197,other,,Lai-2023-291-14
Lai-2023-291-15-1,english,215,to lie down,,Lai-2023-291-15
Lai-2023-291-16-1,english,221,the fire,,Lai-2023-291-16
Lai-2023-291-17-1,english,227,the fish,,Lai-2023-291-17
Lai-2023-291-18-1,english,232,the flea,,Lai-2023-291-18
Lai-2023-291-19-1,english,239,the flower,,Lai-2023-291-19
Lai-2023-291-20-1,english,244,left,,Lai-2023-291-20
Lai-2023-291-21-1,english,249,the fog,,Lai-2023-291-21
Lai-2023-291-22-1,english,267,the nit,,Lai-2023-291-22
Lai-2023-291-23-1,english,274,to knead,,Lai-2023-291-23
Lai-2023-291-24-1,english,319,to lick,,Lai-2023-291-24
Lai-2023-291-25-1,english,321,to chew,,Lai-2023-291-25
Lai-2023-291-26-1,english,341,the sickle,,Lai-2023-291-26
Lai-2023-291-27-1,english,420,the forest,,Lai-2023-291-27
Lai-2023-291-28-1,english,477,late,,Lai-2023-291-28
Lai-2023-291-29-1,english,478,the lip (the lips),,Lai-2023-291-29
Lai-2023-291-30-1,english,479,to grow,,Lai-2023-291-30
Lai-2023-291-31-1,english,487,shy,,Lai-2023-291-31
Lai-2023-291-32-1,english,492,three,,Lai-2023-291-32
Lai-2023-291-33-1,english,493,five,,Lai-2023-291-33
Lai-2023-291-34-1,english,503,the frog,,Lai-2023-291-34
Lai-2023-291-35-1,english,504,to learn,,Lai-2023-291-35
Lai-2023-291-36-1,english,522,the wolf,,Lai-2023-291-36
Lai-2023-291-37-1,english,587,the ant,,Lai-2023-291-37
Lai-2023-291-38-1,english,602,to hide (conceal),,Lai-2023-291-38
Lai-2023-291-39-1,english,606,the grass,,Lai-2023-291-39
Lai-2023-291-40-1,english,609,the hail,,Lai-2023-291-40
Lai-2023-291-41-1,english,615,the horse,,Lai-2023-291-41
Lai-2023-291-42-1,english,617,the ice,,Lai-2023-291-42
