lemma,zh,ko,id,ms,en,nl,de,da,no,sv,fi,lt,pl,ru,uk,mk,el,ro,it,fr,ca,es,pt
I,0.015403156496612261,na,na,na,0.03177978492896007,0.0018304547098005213,0.024423362234571592,0.004854991715205287,0.005755938686958377,0.004455738345566332,na,0.005823590856360234,0.004422105458908674,0.0038631958385493327,0.002759329150900888,na,0.00029522341874728544,0.0011949521486798716,na,0.002184572321146179,na,na,0.013343539546736477
one,0.01184252482904974,0.00047899533891463677,0.0014626771755412026,0.001941463462780681,0.003199753922738998,0.00044549310181610404,na,na,na,na,0.0007761558100752512,na,0.0006849258328241483,0.0014885753176483126,0.0017548362697830712,0.003474983024091281,0.0007260781282343083,0.0006273814966310582,0.0012075513044095608,na,na,0.0009017704182104179,na
in,na,na,0.0036611128457078894,0.005428321705137369,0.014075762868593173,2.5938769951896235e-06,na,4.0535018100799735e-07,2.035530938899841e-07,1.9942613931854255e-07,na,na,1.428289093710986e-07,na,na,na,0.008671336344593208,na,0.0038410289573334337,0.006780860249796279,na,3.4076775723194924e-07,3.481676882357968e-07
it,0.0006732730768711528,na,na,na,0.012552756111915609,0.022877657682678795,na,0.02669257965283063,na,na,na,na,na,0.007162014191209256,na,na,na,na,na,0.002265694923416801,na,na,na
be,na,na,0.0025997372131379703,0.004633316692090911,0.032207971864911825,0.011162422778120289,0.025901426320731773,0.012889189938965297,0.011114609585674801,0.009268967988475084,0.011352566452530749,0.0051352093098932525,0.011413009256986465,0.003919594373433037,0.007430516504054976,0.005453496724687592,0.013451924885443237,0.014709512571050673,0.009712239070721352,0.022844256706077412,0.012730917953326253,0.0210006704550661,0.027743484335078183
who,0.00062307510713695,na,na,na,0.0021614237545529227,0.0008935168153348321,na,0.00047374176432584666,na,na,na,na,na,0.0018925226153511507,0.0016657978922917894,na,na,0.009517075835160944,na,na,0.0010019606241320153,0.0009144557727860847,0.0018741092951759083
there,na,na,0.006191912511635729,0.005720554904295961,0.0026120676425389192,na,na,0.011904166479661363,na,0.0025340281818649925,na,na,na,0.0016080848510767276,0.0014573723604452515,na,0.0007249124658807391,0.0007549595688118708,na,na,na,na,na
will,0.0007175769601395001,na,0.0032844457835895565,0.0036715213478952873,0.0030606278958000897,0.0014671643114579876,0.0006024460239411496,0.003141891772447488,5.903039722809539e-05,0.0026041065272215283,na,0.001770501482275921,0.0019517366424261523,0.0020985560360387793,0.0022828131950744794,na,0.011384298906290098,2.0511831360000875e-05,na,0.0006319648576886964,1.912970073251096e-05,4.0386475486134884e-05,na
do,na,na,0.0008829803920712175,3.201093920495764e-05,0.00593096495641832,0.0029224347479136423,0.0012922735563659683,0.0014314491253207419,0.0008265273377402805,0.001055781924166296,0.00018851113515990845,na,3.7074304046755164e-05,4.2627604280198996e-05,5.266574132538444e-05,3.738941105092594e-05,na,1.5337882866727112e-05,0.00021094813640618046,8.608559074286902e-05,0.0004441358276829235,0.00024349505130467442,0.0003726425872088169
man,0.00033474201064298,na,9.004910230521803e-05,2.6675782670798036e-07,0.0006854000669830686,0.0005676583817602787,0.005080056493570845,0.0006166277031311657,0.0004540930269529062,0.00633225854609809,0.0004290968224849499,0.0005934388763619932,0.0002831073025034276,0.00016753478889993791,0.0003877644287780756,0.0007061576230424132,0.0002538812606073655,0.0003363526427160682,0.00042133725825440395,0.00043511064051208017,0.0003442665359583912,0.0004365894520639138,0.0004365378055498677
not,na,na,0.004852329742003017,0.005438125055268887,0.004314860242660679,0.009447933349592513,0.010861177680926213,0.013385496196700588,0.012378572522184658,0.012444191093477055,na,na,0.02307513253604604,na,na,na,na,na,0.014292065660811808,0.010896117528315662,na,na,0.012125777924283302
like,0.00141177404396444,na,0.0025819405881840445,0.0010122792629001084,0.0033836346872048997,0.0005891053159400173,0.004489183068641928,0.000871840680984701,0.0007643757930725386,5.5021671837985886e-05,0.0008551156557586916,0.0005570095814708149,0.0078024780652542845,0.0003862088628048548,0.00041208934634012686,na,0.0017796037633901252,8.666938609399473e-05,0.0005655430494016537,na,0.0005883914712850257,0.0006759623127569114,0.0006640847324613074
go,na,na,0.00043993672877337784,8.93638719471734e-06,0.004226088721571734,0.005480883179266529,0.002812162524825793,0.0019322142350471215,0.002958745996237864,0.0022379202502048204,0.0008939988255900757,0.00029181186477596736,0.00023725922259530493,0.0005384964404335744,0.0007456964114894846,0.0005759085403665011,0.00020588187524817276,0.000204589421087363,0.00019609432100903886,0.0024361348298540804,0.0012484682623968631,0.0034036653067907935,0.007757511366482224
by,na,na,0.001535787634811384,0.0021870807317220537,0.0026267688430974146,0.0024589110377163425,0.00730715285782712,na,na,na,na,na,0.001951838663075703,na,na,na,na,na,na,0.003609757941037125,0.012793685156441467,0.009764711075989804,0.008475665251416594
more,0.0028040134013563303,na,0.0021843309674091926,0.0017990814727752965,0.0022560844376766187,0.002465532805004875,0.0024671858640535347,0.0018297957559791009,0.001846260487097804,0.0021432526618703086,0.0008434318599773712,0.0012608688594459652,0.001400335435734071,0.00175947282017356,0.0010677147187437145,0.0013567333753285245,0.0019727928707883226,0.011612639951570003,0.0039510749660283855,0.004829993571858187,0.004981414917081938,0.004996930451982921,0.006053372378663206
so,0.0015977324719621815,na,na,na,0.004748400962280395,na,na,na,na,na,na,na,0.0012989881224703215,na,0.00014784271829576873,0.0009648700254783724,na,na,na,na,na,na,na
at,na,na,5.459884938384808e-06,na,0.0051866443297165585,0.00483673705879444,0.004955105968003986,na,0.000934817583689752,0.0009874784714496952,2.51264425404743e-07,na,1.2242477946094165e-07,na,na,na,na,2.0695793973095053e-07,3.7933130718506804e-07,6.925100193833554e-07,4.765405876426218e-07,1.121235846376091e-06,1.5474119477146523e-07
equal,3.547678710876843e-05,na,0.0028679475608731023,na,3.6666183282703424e-05,0.0002803917766507417,na,na,2.069456454548172e-06,0.0005510941933928604,na,5.285079051569914e-06,2.2995454408746876e-05,0.00034722582642307114,1.4227781970256362e-05,5.3461277293712015e-05,1.5309032243541782e-05,5.569468111426247e-05,0.00016804376908298514,2.606805572964488e-05,0.00023997222449146312,3.4362580938937845e-05,0.00018227223234122176
get,0.000209885612341274,na,0.0003219512152000909,0.0005740628430755737,0.0035511502372695633,0.0010580276644362489,0.0007391159024932221,0.0012221082762846117,0.0021181734950191746,na,0.0004990111488538196,na,3.252418307679017e-05,0.00018135185327430978,0.00022213698301948645,9.676602800344116e-05,na,5.817817639103388e-06,8.115693493196324e-05,6.278757509075756e-05,0.000166312665087275,0.0001020874245617133,8.625532098552758e-05
up,na,na,3.854418771978799e-05,na,0.0032147155776380966,5.904760639456053e-06,2.450791348786205e-05,2.8306954307058482e-05,0.0020247765504393203,4.54691597646277e-06,na,na,1.3813595949176251e-05,na,na,2.3438138270729695e-06,na,na,2.6153895390128375e-06,3.957200110762031e-06,na,9.398594594623116e-06,5.76410950523708e-06
