ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Dataset_ID
Bond-2013-OMW-stan1293-1,eng,100,faithful,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-2,eng,1000,anxiety,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-3,eng,1002,statue,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-4,eng,1003,permit,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-5,eng,1004,muscle,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-6,eng,1005,twin,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-7,eng,1006,brick,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-8,eng,1008,bull,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-9,eng,101,boast,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-10,eng,1011,bridge,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-11,eng,1017,appearance,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-12,eng,1018,memory,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-13,eng,102,cold,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-14,eng,1021,towel,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-15,eng,1024,character,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-16,eng,1028,yawn,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-17,eng,1029,jewel,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-18,eng,1030,necessary,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-19,eng,1032,citizen,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-20,eng,1033,grind,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-21,eng,1034,defendant,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-22,eng,1035,good,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-23,eng,1036,owner,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-24,eng,1038,teacher,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-25,eng,1039,show,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-26,eng,1041,increase,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-27,eng,1043,braid,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-28,eng,1044,pillow,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-29,eng,1046,close,,,,Bond-2013-OMW
Bond-2013-OMW-stan1293-30,eng,1048,line,,,,Bond-2013-OMW
