Code	Canonical name	Family	Scripts	Other names	Sort?	Diacr?
aa	Afar	East Cushitic	Latn, Ethi	Qafar		Yes
ab	Abkhaz	Abkhaz-Abaza	Cyrl, Geor, Latn	Abkhazian, Abxazo	Yes	Yes
ae	Avestan	Central Iranian	Avst, Gujr	Zend, Old Bactrian		
af	Afrikaans	Low Franconian	Latn, Arab		Yes	
ak	Akan	Central Tano	Latn	Twi-Fante, Twi, Fante, Fanti, Asante, Akuapem		
am	Amharic	Ethiopian Semitic	Ethi			
an	Aragonese	West Iberian	Latn			
ar	Arabic	Arabic	Arab, Hebr, Syrc, Brai	Standard Arabic, Literary Arabic, High Arabic, Modern Standard Arabic, Classical Arabic, Judeo-Arabic	Yes	Yes
as	Assamese	Bengali–Assamese	as-Beng	Asamiya		
av	Avar	Avaro-Andian	Cyrl, Latn, Arab	Avaric	Yes	Yes
ay	Aymara	Aymaran	Latn	Southern Aymara, Central Aymara		
az	Azerbaijani	Oghuz	Latn, Cyrl, fa-Arab	Azeri, Azari, Azeri Turkic, Azerbaijani Turkic, North Azerbaijani, South Azerbaijani, Afshar, Afshari, Afshar Azerbaijani, Afchar, Qashqa'i, Qashqai, Kashkay, Sonqor	Yes	Yes
ba	Bashkir	Kipchak-Bulgar	Cyrl		Yes	
be	Belarusian	East Slavic	Cyrl, Latn	Belorussian, Belarusan, Bielorussian, Byelorussian, Belarussian, White Russian	Yes	Yes
bg	Bulgarian	South Slavic	Cyrl			Yes
bh	Bihari	Eastern Indo-Aryan	Deva			
bi	Bislama	creole or pidgin	Latn			
bm	Bambara	East Manding	Latn, Nkoo	Bamanankan	Yes	
bn	Bengali	Bengali–Assamese	Beng, Newa	Bangla		
bo	Tibetan	Tibetic	Tibt	Amdo Tibetan, Amdo, Dolpo, Khams, Khams Tibetan, Khamba, Gola, Humla, Limi, Lhasa, Lhasa Tibetan, Lhomi, Loke, Lowa, Mugom, Mugu, Mustang, Nubri, Panang, Shing Saapa, Thudam, Tichurong, Tseku, Ü, Dbus, Walungge	Yes	Yes
br	Breton	Southwestern Brythonic	Latn	Gwenedeg, Vannetais, Kerneveg, Cornouaillais, Leoneg, Léonard, Tregerieg, Trégorrois	Yes	
ca	Catalan	Occitano-Romance	Latn		Yes	
ce	Chechen	Vainakh	Cyrl, Latn, Arab		Yes	Yes
ch	Chamorro	Malayo-Polynesian	Latn	Chamoru	Yes	
co	Corsican	Italo-Dalmatian	Latn	Corsu	Yes	
cr	Cree	Algonquian	Latn, Cans			
cs	Czech	West Slavic	Latn		Yes	
cu	Old Church Slavonic	South Slavic	Cyrs, Glag	Old Church Slavic	Yes	Yes
cv	Chuvash	Oghur	Cyrl		Yes	
cy	Welsh	Western Brythonic	Latn	Cofi Welsh, Dyfedeg, Dyfed Welsh, Demetian, Gwenhwyseg, Gwent Welsh, Gwentian, Gwyndodeg, Gwynedd Welsh, Venedotian, North Wales Welsh, Powyseg, Powys Welsh, Powysian, South Wales Welsh, Patagonian Welsh	Yes	
da	Danish	East Scandinavian	Latn		Yes	
de	German	High German	Latn, Latf	High German, New High German, Deutsch, Alsatian German, American German, Bavarian German, Belgian German, Central German, DDR German, East African German, German German, Hessian German, Indiana German, Liechtenstein German, Lorraine German, Luxembourgish German, Namibian German, Northern German, Prussian German, Silesia German, South African German, Southern German, South Tyrolean German, Switzerland German, Texan German	Yes	
dv	Dhivehi	Insular Indo-Aryan	Thaa, Diak	Divehi, Maldivian, Mahal, Mahl		
