ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Contribution_ID,Word_ID,BorrowedScore,AgeScore,SimplicityScore,Borrowed,Analyzability,Age,ContactSituation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source
51602,1,1-1,dunia,,,1,1,72141734767181903,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,pre-modern Swahili [1],Indian Ocean [1],pre-modern Swahili,,,,,,Coexistence,,,n 9,,,,,,,Sacleux 1939,,,Present in pre-contact environment,
51603,1,1-1,ulimwengu,,,1,1,72141734906279624,0.25,0.5,1.0,4. very little evidence for borrowing,unanalyzable,No information [1],No information [1],No information,,,,,,No information,,,n 11,,,,,,Johnson: “Probably a confusion”,Johnson 1939,,,Present in pre-contact environment,
18425,2,1-1,yaamu,,,2,2,72141423577883891,0.0,,1.0,5. no evidence for borrowing,unanalyzable,Proto West Rift [2],,Proto West Rift,,,,,,,,,,,,,,,,,,1. Very common,,
8475,3,1-1,ʔalame,,,3,3,7129132920960551,1.0,0.7,1.0,1. clearly borrowed,unanalyzable,20th century [3],20th contact within the Ethiopian state [3],20th century,,,,,,Insertion,,,,,,,,,,Leslau (1976: 532),,,Present only since contact,
10666,4,1-1,dúuníyàa,,,4,4,73101839221561044,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,Pre-modern Islamic [4],Arabic Islamic [4],Pre-modern Islamic,,,,,integrated as feminine noun because of final /aa/,Insertion,,,,1. Highly integrated,,,,,,,,,Present in pre-contact environment,
23191,5,1-1,dúnyâ,,,5,5,73101856881480411,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,Pre-Modern Islamic [5],Arabic contact with Islam [5],Pre-Modern Islamic,,,,,Yerwa dinâ,Insertion,,,,1. Highly integrated,,,,,,,,,Present in pre-contact environment,
1254,6,1-1,ddənya,,,6,6,7212058305706511,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,Islamic period [6],Widespread Moroccan Arabic bilingualism [6],Islamic period,,,,,,Insertion,,,noun,2. Intermediate,,,,,,,,,No information,
49513,7,1-1,lemonn,,,7,7,72141525241268054,0.0,0.9,1.0,5. no evidence for borrowing,unanalyzable,18th century [7],,18th century,,,,,< French le monde,,,,,,,,,,,,,,,
42643,8,1-1,lume,,,8,8,74318329569365,0.0,1.0,1.0,5. no evidence for borrowing,unanalyzable,Pre 100 CE [8],,Pre 100 CE,,,,Use of a noun meaning ‘light’ to mean ‘world’ modeled on Slavic.,Latin lumen,,,,,,,,,,,,,,,
47780,9,1-1,világo,,,9,9,75101356629862098,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,Hungarian L2 [9],Hungarian bilingualism [9],Hungarian L2,,,,,,Replacement,,,"noun, masculine",2. Intermediate,,,,,,own data,,,Present in pre-contact environment,
